,gvkey,tic,curncd,exesign,currtr,src,auop,gsubind,aoloch,aoloch_std,at,at_std,bkvlps,bkvlps_std,caps,caps_std,capx,capx_std,ceq,ceq_std,ceqt,ceqt_std,ch,ch_std,chech,chech_std,ci,ci_std,cibegni,cibegni_std,cogs,cogs_std,cshpri,cshpri_std,dcpstk,dcpstk_std,defrev,defrev_std,dilavx,dilavx_std,dlc,dlc_std,dltr,dltr_std,dltt,dltt_std,dp,dp_std,dpact,dpact_std,dvc,dvc_std,dvt,dvt_std,ebit,ebit_std,epsfi,epsfi_std,epsfx,epsfx_std,epspi,epspi_std,esopct,esopct_std,esubc,esubc_std,fincf,fincf_std,fopo,fopo_std,gdwl,gdwl_std,gp,gp_std,icapt,icapt_std,intan,intan_std,intpn,intpn_std,invch,invch_std,invt,invt_std,ivncf,ivncf_std,lct,lct_std,lse,lse_std,lt,lt_std,mii,mii_std,msa,msa_std,ni,ni_std,nopi,nopi_std,np,np_std,oancf,oancf_std,opeps,opeps_std,pi,pi_std,pnca,pnca_std,ppegt,ppegt_std,prca,prca_std,pstk,pstk_std,re,re_std,rect,rect_std,revt,revt_std,seq,seq_std,siv,siv_std,spce,spce_std,sppiv,sppiv_std,sstk,sstk_std,teq,teq_std,tot_tax,tot_tax_std,tstk,tstk_std,wcap,wcap_std,xacc,xacc_std,xint,xint_std,xopr,xopr_std,xsga,xsga_std,rest_count,rest_sum_diff,rest_count_of_diffs,rest_a_sum_diff,rest_a_count_of_diffs,st_prc_end,st_per_growth,st_per_currentToMax,st_per_lowToStart,st_volatility,sec_ajexm,sec_ajpm,sec_trfm_mean,sec_trfm_std,sec_trt1m_mean,sec_trt1m_std,rat_spcsrc,lawsuit,SettlementAmount
0,1239,ACV,USD,1,1.0,5,2,30302010,1.9,,1878.275,,13.4056,,491.019,,25.833000000000002,,1324.612,,635.8969999999999,,301.978,,-167.797,,143.452,,155.31,,734.5010000000001,,97.985,,0.0,,-67.053,,155.136,,0.18100000000000002,,0.17,,150.241,,26.658,,222.368,,32.495,,32.495,,235.342,,1.56,,1.55,,1.59,,0.0,,0.0,,105.208,,14.472000000000001,,521.2040000000001,,863.9630000000001,,1477.481,,688.715,,0.573,,-36.842,,171.30599999999998,,-409.17800000000005,,283.42400000000004,,1878.275,,551.035,,0.0,,-3.2439999999999998,,155.31,,1.49,,0.0,,137.471,,1.69,,217.84400000000002,,0.0,,469.417,,0.0,,2.628,,832.605,,283.183,,1598.464,,1327.24,,4.35,,155.053,,0.0,,13.42,,1327.24,,78.27199999999999,,0.0,,520.68,,148.688,,3.8139999999999996,,1336.464,,601.9630000000001,,1.0,17.80199999999993,2.0,0.0,0.0,37.49,0.25,0.99,-0.14,0.14,1.0,1.0,6.001948501000193,0.02627860565201212,1.631412731722862,6.320250991603144,6.0,1.0,0.0
1,1266,ALCO,USD,1,1.0,5,1,30202010,1.2534999999999998,1.8306972032534488,186.95,7.95765976381667,16.2071,2.381094316170615,9.261,0.18539035393820666,14.093,4.634416854722213,119.10400000000001,17.024110693856127,118.9825,16.888171311601507,12.126999999999999,9.553173342751961,1.6935000000000007,11.775376607565466,12.793000000000001,9.680632090244245,12.793000000000001,9.679415525571091,69.072,10.304851074453563,7.359,0.026663020584072442,0.0,0.0,0.0,0.0005,12.793000000000001,9.679415525571091,2.6334999999999997,0.9871860260356201,83.857,69.92223928527079,45.256,17.69080741279681,7.878,1.1464670368862189,65.162,4.297091913918839,1.3235,0.8795167233581559,1.3235,0.8795167233581559,14.494,8.31615802218789,1.7349999999999999,1.313532133853857,1.7349999999999999,1.313532133853857,1.7349999999999999,1.3194190640833814,0.0,0.0,-0.3085,0.31495026062327147,-13.543,5.912172838023823,1.94,0.46972855636704336,0.0,0.0,31.0545,9.683821714591817,170.6385,7.348319036804719,0.1215,0.14506205568652333,1.8050000000000002,1.5878900833076157,-2.9425,2.1944816396285174,24.8315,4.868884771348226,0.001000000000000334,8.433731731367002,11.658999999999999,3.8064391496515473,186.95,7.95765976381667,63.455,12.758062875426397,0.0,0.0,0.0,0.0005,12.793000000000001,9.679415525571091,5.521,9.301951766520116,0.0,0.0,15.0865,6.88158436214607,1.895,1.2794367250213405,20.994500000000002,15.719641365713999,0.0,0.0,190.969,7.427787484619279,0.0,0.0,0.0,0.0,103.297,17.95730060216921,4.332,0.7605774122336271,100.12650000000001,19.486424009208736,119.10400000000001,17.024110693856127,4.2435,2.508531758486094,7.277000000000001,5.614816203581379,-4.8755,9.743733952306648,0.0,0.0,119.10400000000001,17.024110693856127,8.2015,8.404646388555957,0.7024999999999999,1.1793671678771913,31.924,12.796383929324199,3.8225,0.5882575258053795,1.9314999999999998,1.1406531754510947,77.1315,10.99089691138383,8.0595,0.9026972083705587,3.0,6.702999999999999,3.0,0.0,0.0,38.38,0.33,0.81,-0.38,0.27,1.0,1.0,1.8039505765589399,0.017539060625516443,0.9915021015159261,9.322427853005198,3.0,0.0,
2,1408,BEAM,USD,1,1.0,8,1,30201020,-45.6,97.66628128479142,8610.8,2280.693688880643,29.9063,4.577370879300329,878.05,51.6474184575893,177.5,51.08877078184598,4843.1,668.9451821088682,-187.45,533.3384252361096,321.45,295.10145571763394,29.450000000000003,462.8708315142214,518.15,111.5937087533761,439.2,255.7362883258195,940.8499999999999,1280.4677124004338,156.45,4.26341021562161,2.35,2.772483844257107,-179.0,69.07022995956123,381.7,150.95881060739714,254.25,319.566842251612,589.6,1113.0186281759468,2024.7,828.8008662117418,122.8,62.90442485760972,579.4,590.602328136285,123.60000000000001,13.844463393958852,123.94999999999999,13.659795020423987,649.75,93.42970619669099,2.77,1.648625690284689,2.3600000000000003,0.9700300682624912,2.805,1.6892700593254273,0.0,0.0,,,-358.65,1072.1008565739824,81.7,95.05396712745168,2564.4,634.0911626099199,1565.75,796.3326231334911,6867.8,1444.8752425959367,4830.65,1057.950642752298,163.64999999999998,52.92267157529623,-91.95,22.436781557671477,1790.1,224.07263703242907,-57.65,705.5904808503773,983.65,648.2382946622845,8610.8,2280.693688880643,3767.7,1694.7975631325412,0.0,4.2,0.0,0.0,435.0,256.2309683989557,11.55,5.545268253204709,20.6,19.446057869570033,439.15,178.65486979089036,2.625,0.36754818278243007,489.7,182.72619544006272,4.81,9.091948819330943,1381.1999999999998,919.3056981584889,-2.6975,1.8997911069378128,2.35,2.772483844257107,6079.75,749.7749323408101,441.35,263.8476122689004,2506.6000000000004,2075.648599634983,4843.1,669.1188907810032,1.75,10.700467279516348,395.77250000000004,151.39506665096457,-12.0,340.3155141433706,107.5,55.810654598084284,4843.1,675.930471646308,1264.75,142.36927044368332,3029.6000000000004,177.49925821441272,1929.6,315.24407871785104,,,113.2,54.96044031846908,1734.0500000000002,1922.3658017748164,793.2,642.2917172126697,3.0,4799.820000000001,14.0,2708.52,5.0,449.61,9.36,0.81,-0.42,0.89,1.0,1.0,19.151069627125153,2.3160892907203547,2.017711363115742,6.373379715424865,4.0,0.0,
3,1429,2388B,USD,1,1.0,3,1,30202030,24.1015,58.01252722401143,888.7935,68.17076629807438,,,,,69.292,10.565898112165701,269.402,43.74288115415657,269.402,43.74288115415657,0.1275,0.002629955639676579,0.0,0.004203173404306164,60.92,75.28565899293172,46.7765,2.8630753570243352,1097.597,143.05794526315788,,,0.0,0.0,-24.706000000000003,48.864225970198966,,,91.441,51.81008250974579,13.277000000000001,10.753098297700065,128.5,6.176875234830843,54.150000000000006,1.5641824275533411,1004.0975000000001,63.06746756979115,22.685499999999998,5.90371659775998,22.685499999999998,5.90371659775998,60.718999999999994,6.702831310971013,,,,,,,0.0,0.0,0.36,0.21519138768392512,-9.937999999999999,47.83375583117707,-0.125,0.061304567529671054,0.0,0.0,413.33899999999994,34.28824674238484,480.72350000000006,35.61745570526713,0.0,0.0,8.649999999999999,0.7874007874011809,-25.727,8.1722810769087,258.36199999999997,39.25510325210383,-69.176,14.574999062321295,316.7975,52.78044637537023,888.7935,68.17076629807438,525.1925,43.44158953794542,6.2145,0.23990970523650504,0.0,0.0,40.583,7.526870553778198,0.2885,0.7510794454206116,88.4185,52.0885896942251,84.6825,55.18858783223816,,,51.531499999999994,6.773823095810324,3.8905000000000003,1.5735593146324884,1494.74,74.8865707698427,-0.4535,0.31473944250231284,38.275,0.0,,,86.06700000000001,13.14938412689608,1510.9360000000001,176.39047460747418,307.677,43.74288115415654,1.6855000000000002,0.29632906821077576,43.281499999999994,8.416429904260669,0.5295000000000001,0.2123744727284017,0.0,0.0,350.84450000000004,38.766887514776506,8.504000000000001,1.903868868033369,0.0,0.0,54.928,8.338205137598054,0.0,0.0,9.803,0.8452228010018029,1391.9495,170.9566320815507,294.35249999999996,29.39195915410653,4.0,4.959999999999702,5.0,4.896999999999707,4.0,,,,,,,,,,,,0.0,0.0,
4,1659,ANDE,USD,1,1.0,5,1,30101020,2.3535,175.84278257271936,1958.2134999999998,297.8058660149539,30.102400000000003,5.459363199357598,180.54500000000002,2.818880791496276,123.84649999999999,55.30323195196943,559.204,106.51699244525882,509.286,81.07323071715265,83.71849999999999,134.3836186370943,54.4995,129.25836469386937,77.905,25.275800936864496,85.6335,15.66112099808525,4526.192,932.0947607592894,18.490000000000002,0.12616226324327998,0.0,0.0,-39.06,10.426477928811819,84.3365,13.365348006443137,77.85300000000001,104.09136168289855,99.38,44.29933886169558,326.019,86.85063687926149,42.55,10.433080401619971,345.8955,30.149991580982743,10.1375,2.339720976954303,10.1375,2.339720976954303,100.88400000000001,20.06716492806097,4.5,0.7042904230500368,4.5,0.7042904230500368,4.535,0.7068415664065036,0.0,0.0,-20.5925,24.25067887709538,9.921500000000002,182.65099712201592,7.064500000000001,6.779467991664243,32.0,25.428396115366773,397.9785,46.1200092683931,908.2075,181.08301955433782,49.227,31.290754220163294,22.299999999999997,2.1855586623714,4.000499999999995,182.4473315514645,703.824,80.74983856330613,-97.63300000000001,98.8055604103332,914.538,103.69465543765178,1958.2134999999998,297.8058660149539,1391.9830000000002,200.0019673394906,0.9690000000000001,3.998285757671655,3.5570000000000004,2.738551609275726,84.70949999999999,13.433780291365002,42.3655,25.185990987054687,47.8595,108.72941992357298,309.3735,279.70844790781706,4.525,0.8538686471973702,134.00549999999998,22.102997298632005,-0.45499999999999996,1.7261497376145172,825.6115,183.0162590172433,0.356,0.22312552520946588,0.0,0.0,392.341,101.84995191293253,170.785,23.942901446288154,4924.1705,977.4763717875747,559.204,106.51699244525882,0.0,9.999,82.96100000000001,15.181942264304222,-13.8915,7.9495496885043755,1.3135,0.46038561735426387,575.1435,110.71587418365081,120.05900000000001,31.607407417671375,13.3085,2.082659677751824,303.08050000000003,38.758496749100075,21.5255,30.441654036862058,22.0075,2.268388708606472,4763.351500000001,961.6478986220731,237.15949999999998,30.662070211690992,2.0,7.844000000000236,3.0,1.6440000000002328,1.0,54.81,1.08,0.59,-0.07,0.29,1.4537037037037037,1.4537037037037037,1.2743159152904537,0.020234765778466217,2.5598106570239967,9.131795364253636,6.0,0.0,
5,1722,ADM,USD,1,1.0,5,1,30202010,-249.5,608.2863223844508,41873.0,5552.997298756771,27.544800000000002,3.1965294200637873,0.0,0.0,1362.0,304.2323673334797,18388.5,2362.8091332141066,18044.0,2256.463383261514,1168.5,1104.4351120218275,333.5,805.7304656852274,1556.5,1207.5999268521564,1636.5,391.89401203216494,80063.0,13125.184963776068,652.0,11.954775893619532,1004.0,514.451406840335,-482.0,554.3551809685436,1636.0,413.9283351821504,1788.0,1298.5282374031506,387.5,116.59188079221754,6682.5,1199.88457778238,838.0,28.629821282478627,12553.0,906.0280992699217,425.0,58.46010035343195,425.0,58.46010035343195,2314.5,284.9526276418592,2.51,0.6615323121359984,2.51,0.6615323121359984,2.5149999999999997,0.672061505121865,0.0,0.0,-277.0,67.90925317411956,-1062.5,2876.400571895368,153.0,329.28052883015516,344.5,45.44135414648937,4719.0,275.7565351295717,25122.5,2378.9079427333877,344.5,128.0494696071275,414.5,29.96108587262261,-208.0,2434.4097676165093,11748.0,2167.244083315644,-1398.5,538.6458329304454,13922.0,3128.0071797658434,41873.0,5552.997298756771,23369.5,3258.899865496535,0.5,17.7857620959388,17.5,27.909078570720794,1636.0,409.6334743808584,673.0,151.85162714527183,1124.5,943.3137954396017,2818.0,3189.809868942035,2.6849999999999996,0.4682591874877274,2304.5,561.5219645451696,32.175,10.352495673346917,22209.0,1513.761760207552,0.325,4.95025251881154,0.0,0.0,12019.5,1873.598565150319,5610.0,2701.398326176032,84857.0,13082.430457169135,18388.5,2362.8091332141066,1699.5,499.48840493715835,1717.55,377.65175316244284,0.0,4.5,0.0,875.0,18503.5,2372.589724330778,1751.0,475.908604671107,1350.0,379.68539608470587,12600.0,1980.608723768192,2907.0,834.3860018001261,475.5,30.72865112561891,81679.5,13250.899554369884,1616.5,130.90709173557659,3.0,765.0,3.0,-22.0,0.0,40.82,0.3,0.85,-0.25,0.18,1.0,1.0,2.0879788597017472,0.06133511160075783,1.0514558778958258,6.857366538153566,5.0,0.0,
6,1728,ARDNA,USD,1,1.0,5,1,30101030,-0.757,0.6185006063052807,127.884,24.185453155426572,26.7406,7.819319618312921,5.271,0.061776478803289625,4.292,1.57019945654472,84.527,24.487717798929324,84.527,24.487717798929324,30.675,18.39735948444776,-14.638,33.504389299513186,18.078,0.9601027722766615,18.085,0.9596311791516581,263.569,7.445280473785615,3.094,0.04675824347998255,0.0,0.0,0.0,0.0,18.085,0.9596311791516581,0.0,0.0,0.0,0.0,1.228,0.0,4.975,0.1983364145418924,90.494,2.5685765188783742,3.161,35.42824908177089,3.161,35.42824908177089,29.573,2.7583997172273635,5.72,0.33605555096342854,5.72,0.33605555096342854,5.72,0.33605555096342854,0.0,0.0,0.0,0.0,-9.8,33.656477093322366,0.838,0.22301868382118425,0.0,0.0,165.91400000000002,4.3256096680121345,85.755,24.48771779892933,0.0,0.0,0.087,0.004358898943540678,-0.8320000000000001,0.323867771371795,19.008,0.7577547976313547,19.484,29.787433614417566,31.085,1.112466179261196,127.884,24.185453155426572,43.357,0.30282723347369944,0.0,0.0,-0.006,0.006027713773341709,18.085,0.9596311791516581,0.248,0.5928802577249473,0.0,0.0,23.088,4.448324066432211,5.6,0.5550075074567314,30.331,1.6266398904900046,0.0,0.0,128.741,2.2490936693106782,0.0,0.0,0.0,0.0,81.773,24.460509540890595,4.882,0.9924723337873621,429.483,11.017542663104765,84.527,24.487717798929324,0.0,0.0,17.757,1.672799250757047,0.07400000000000001,1.3458816193608312,0.0,0.0,84.527,24.487717798929324,12.245999999999999,0.6679950099614022,3.753,0.0,51.062,24.21597110035716,12.423,0.28379100291117904,0.083,0.5568653338106082,398.38599999999997,10.743877341692503,134.817,3.3012334563513344,1.0,0.3899999999999999,1.0,0.0,0.0,126.38,0.32,0.79,-0.23,0.16,1.0,1.0,1.6680360579906972,0.16739713810737988,1.2258496355995765,6.671110313310085,4.0,0.0,
7,1920,AVP,USD,1,1.0,5,1,30302010,16.2,128.40203788621633,7558.75,621.1411990575626,3.2307,0.6289829588311596,2098.6499999999996,64.13617673876956,252.75,58.43532036933369,1393.75,265.704176042957,563.6,102.79060835828666,1194.75,58.26956752885669,-68.6,87.22699792304368,111.05000000000001,357.05548938505336,239.79999999999998,353.39964629297515,3872.7,215.08325519822938,431.2,1.983840971449061,0.0,0.0,-862.4000000000001,131.0200080140435,256.1,333.86432748448385,649.8,287.4977376722583,376.45000000000005,872.6966292284317,2495.8999999999996,93.62985189920302,191.85,27.231415681157674,1130.4,29.37856361362817,352.6,135.10263999394436,352.6,135.10263999394436,974.3,267.3049740776752,0.5399999999999999,0.8129165598838132,0.595,0.7743976153544552,0.5399999999999999,0.8162260716247675,0.0,0.0,0.0,0.0,-342.9,318.6312327754453,675.2,109.89362659711736,424.0,168.21815201299373,6899.9,389.2932774057795,3950.75,193.6764548587842,830.1500000000001,315.04343615867737,137.45,44.191279305612625,-139.75,67.61964088438606,1144.15,72.9357251283621,-241.29999999999998,428.6880684133862,2797.8,323.17057415550687,7558.75,621.1411990575626,6149.5,401.68724463194025,4.3,0.12583057392117905,0.0,0.0,235.10000000000002,353.41436963805904,-16.2,14.698611045492246,197.35,324.6319595583076,605.95,79.53960753402463,1.3199999999999998,0.4757450297515816,480.6,386.89511067816125,31.134999999999998,11.43076331659439,2710.3,121.19370170653814,-6.24,3.3196168830152666,0.0,0.0,3676.3999999999996,319.74812352850483,794.5999999999999,58.52414743790234,10789.95,557.2660189113758,1393.75,265.704176042957,12.8,13.59224656437142,440.175,256.7842770814639,0.0,0.0,18.1,6.425145912740037,1409.25,264.9329789462485,648.3,196.1567825320688,4569.1,9.252161909521577,1226.15,12.778464957367412,1110.6,,99.8,14.03483760742057,9653.05,451.72766869726587,5763.0,243.87305440877816,3.0,522.6999999999998,5.0,90.5,1.0,14.3,-0.55,0.4,-0.59,0.28,1.0,1.0,5.9533594980996485,0.2637494927472986,-0.783637339968392,8.736623394669422,3.0,1.0,0.0
8,1932,BTI,GBP,0,1.6574,3,2,30203010,335.8335,410.84252852512316,43660.639500000005,1188.206130340047,12.739049999999999,1.048984125634574,264.78099999999995,15.541017928372634,871.8675000000001,146.9020637712419,12420.0175,1317.8889518975668,-6417.368999999999,1121.0111819562367,3449.651,90.70334756777162,-135.9575,288.75811736353546,5715.855,1116.8537355212034,5973.467000000001,1053.8217288717526,15098.978000000001,252.24752857064723,977.25,18.254565638948154,0.0,0.0,7409.8725,990.2102569102433,5527.468000000001,1019.4998580736777,2702.1485000000002,503.02773390639214,2409.83,387.87474916126797,14247.1405,1274.3629174361342,757.5725,39.5904913531435,5069.9105,203.59775430162887,3895.4604999999997,494.5232846681739,3895.4604999999997,494.5232846681739,8810.3745,851.7328963019542,5.63,1.144767079657109,5.63,1.144767079657109,5.66,1.1516184263895746,0.0,0.0,-318.2075,105.78806600738729,-6358.9095,268.6347896772053,1999.1055,342.2202138081801,17414.360500000003,406.3546118621848,9567.947,816.0697987651963,27509.176,834.7924194742467,18837.3865,298.9985654183795,917.177,22.037917422781437,-535.366,483.6531383994801,6050.2570000000005,656.5725719126556,-672.3295,243.48117649146238,12716.202,1004.5227994988476,43660.639500000005,1188.206130340047,30378.8465,2302.7141927786547,445.999,36.710189452884435,53.304,17.625045040131575,5527.468000000001,1019.4998580736777,1267.1014999999998,196.77503668466173,458.5685,528.8466032744435,7146.690500000001,185.36058299860645,6.345,0.7711679453919227,8423.0365,1329.1901969054943,3.5865,24.390965709663895,10101.4575,218.57100232266146,-1.0005,2.5415306411688214,0.0,0.0,14970.881,1383.1442944507205,,,24666.925,1061.635325632425,12420.0175,1317.8889518975668,217.32250000000002,206.77894526119755,5910.51,792.0049090834282,-3.8480000000000003,20.585542208064375,7.95,1.7536328007881243,12908.1325,1328.5475945379842,5680.565500000001,603.5531126401245,3491.7664999999997,2642.869506694444,1627.7115,351.6335437478437,,,920.275,61.19875034399531,15098.978000000001,252.24752857064723,,,0.0,0.0,0.0,0.0,0.0,121.55,2.74,0.99,-0.13,0.36,1.0,1.0,18.379310670275135,1.0931376133976134,1.6719762299426946,5.372723878607686,0.0,0.0,
9,2390,BRID,USD,1,1.0,5,1,30202030,-1.975,0.6488705571991997,61.036500000000004,3.212536835067677,3.18155,0.7951041289248431,9.073,0.7408812320473499,1.8105,1.4585230828935596,29.1465,7.460419173880244,29.1465,7.457050863668109,9.533999999999999,3.3310995557022904,-0.49950000000000006,3.5597182004572594,0.30699999999999994,10.247349852522847,3.2835,2.1149314212679964,80.812,6.472511954411517,9.2305,0.08412441183548613,0.0,0.0,-15.276,6.963415463453742,3.2835,2.1149314212679964,0.1155,0.1544287861766711,0.0415,0.09737342210959485,0.664,0.8091567627268939,1.9849999999999999,0.25965297353711675,56.345,0.7626930356746849,0.6950000000000001,0.4471370967984353,0.6950000000000001,0.4471370967984353,3.2545,2.8797478332891115,0.36,0.22896506283710621,0.36,0.22896506283710621,0.36,0.22896506283710621,0.0,0.0,0.0,0.0,-1.0415,0.7808949459861211,1.1355,1.7638148995855545,0.0,0.0,45.5775,4.104991148995738,29.8105,7.226675232544125,0.0,0.005,,,-0.6465000000000001,0.4988139265631358,17.121499999999997,1.1198048565114656,-1.7635,1.4393464662825277,14.0745,1.7738741969673792,61.036500000000004,3.212536835067677,31.7185,7.013395302324453,0.0,0.0,0.068,0.0,3.2835,2.1149314212679964,0.176,0.18194390161072543,0.0,0.0,2.8009999999999997,3.1171972453899457,0.36,0.22896506283710621,3.5505,2.8433558811141926,0.23349999999999999,0.5347169812152968,64.829,2.30239011681339,0.008500000000000002,0.03759875884476331,0.0,0.0,10.942499999999999,7.044039891993798,11.6415,1.6929080256568383,122.809,5.943937639870271,29.1465,7.460419173880244,0.0,0.0,3.698,2.5463879646799046,-0.026500000000000003,0.02263478149515328,0.0,0.0,29.1465,7.460419173880244,0.267,0.768824373096136,0.0,0.0,25.0195,2.6273901499396684,8.7695,1.185489596467777,0.0,0.0,119.917,6.178178716256117,40.347,1.201736625332967,4.0,1.5820000000000252,7.0,3.3600000000000136,4.0,8.3,-0.25,0.49,-0.45,0.22,1.0,1.0,2.448592180793844,0.013291211237619293,-0.05139967936176994,10.423597097311047,3.0,0.0,
