gvkey,tic,curncd,ceoso,cfoso,currtr,src,auop,acominc,acominc_std,act,act_std,ao,ao_std,aoloch,aoloch_std,aqc,aqc_std,at,at_std,bkvlps,bkvlps_std,caps,caps_std,capx,capx_std,ceq,ceq_std,ceqt,ceqt_std,ch,ch_std,chech,chech_std,ci,ci_std,cibegni,cibegni_std,cogs,cogs_std,cshpri,cshpri_std,dcpstk,dcpstk_std,defrev,defrev_std,dilavx,dilavx_std,dlc,dlc_std,dltr,dltr_std,dltt,dltt_std,dp,dp_std,dpact,dpact_std,dvc,dvc_std,dvt,dvt_std,ebit,ebit_std,epsfi,epsfi_std,epsfx,epsfx_std,epspi,epspi_std,esopct,esopct_std,esubc,esubc_std,fincf,fincf_std,fopo,fopo_std,fyear,fyear_std,gdwl,gdwl_std,gp,gp_std,icapt,icapt_std,intan,intan_std,intpn,intpn_std,invch,invch_std,invt,invt_std,ivncf,ivncf_std,lct,lct_std,lse,lse_std,lt,lt_std,mii,mii_std,msa,msa_std,ni,ni_std,nopi,nopi_std,np,np_std,oancf,oancf_std,opeps,opeps_std,pi,pi_std,pnca,pnca_std,ppegt,ppegt_std,prca,prca_std,pstk,pstk_std,re,re_std,rect,rect_std,revt,revt_std,seq,seq_std,siv,siv_std,spce,spce_std,sppiv,sppiv_std,sstk,sstk_std,teq,teq_std,tot_tax,tot_tax_std,tstk,tstk_std,wcap,wcap_std,xacc,xacc_std,xint,xint_std,xopr,xopr_std,xsga,xsga_std,rest_count,rest_sum_diff,rest_count_of_diffs,rest_a_sum_diff,rest_a_count_of_diffs
1239,ACV,USD,Y,Y,1.0,5,4.0,2010.0,-70.297,804.1039999999999,84.70100000000001,1.9,392.25199999999995,1878.275,13.4056,491.019,25.833000000000002,1324.612,635.8969999999999,301.978,-167.797,143.452,155.31,734.5010000000001,97.985,0.0,155.136,0.18100000000000002,0.17,150.241,26.658,222.368,32.495,32.495,235.342,1.56,1.55,1.59,0.0,0.0,105.208,14.472000000000001,521.2040000000001,863.9630000000001,1477.481,688.715,0.573,-36.842,171.30599999999998,-409.17800000000005,283.42400000000004,1878.275,551.035,0.0,-3.2439999999999998,155.31,1.49,0.0,137.471,1.69,217.84400000000002,0.0,469.417,0.0,2.628,832.605,283.183,1598.464,1327.24,4.35,155.053,0.0,13.42,1327.24,0.0,520.68,148.688,3.8139999999999996,1336.464,601.9630000000001,-67.053,78.27199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.80199999999993,2.0,0.0,0.0
1266,ALCO,USD,Y,Y,1.0,5,1.0,2011.5,0.0,44.471000000000004,8.15175,1.6057499999999998,0.0,188.19375,16.554524999999998,9.26775,13.828249999999999,121.54525,121.41975,12.54325,1.4472500000000008,11.1515,11.15225,71.8295,7.351249999999999,0.0,11.15225,2.45675,80.463,49.17275,8.163,65.93575,1.4995,1.4995,14.048749999999998,1.515,1.515,1.52,0.0,-0.3335,-13.6795,1.97075,0.0,29.9785,170.718,0.1255,2.32475,-2.6664999999999996,24.416750000000004,-0.10325000000000006,12.0945,188.19375,66.6485,0.0,-0.00025,11.15225,8.31,0.0,15.23,1.7075,17.96,0.0,192.85025,0.0,0.0,105.99824999999998,4.438000000000001,101.808,121.54525,4.12725,6.5445,-7.6850000000000005,0.0,121.54525,1.0982500000000002,32.3765,3.66525,2.2525,79.59625000000001,7.766749999999999,0.00025,8.45375,1.2909944487358056,0.0,13.747411780646807,5.212833802261492,1.8306972032534488,0.0,7.95765976381667,2.381094316170615,0.18539035393820666,4.634416854722213,17.024110693856127,16.888171311601507,9.553173342751961,11.775376607565466,9.680632090244245,9.679415525571091,10.304851074453563,0.026663020584072442,0.0,9.679415525571091,0.9871860260356201,69.92223928527079,17.69080741279681,1.1464670368862189,4.297091913918839,0.8795167233581559,0.8795167233581559,8.31615802218789,1.313532133853857,1.313532133853857,1.3194190640833814,0.0,0.31495026062327147,5.912172838023823,0.46972855636704336,0.0,9.683821714591817,7.348319036804719,0.14506205568652333,1.5878900833076157,2.1944816396285174,4.868884771348226,8.433731731367002,3.8064391496515473,7.95765976381667,12.758062875426397,0.0,0.0005,9.679415525571091,9.301951766520116,0.0,6.88158436214607,1.2794367250213405,15.719641365713999,0.0,7.427787484619279,0.0,0.0,17.95730060216921,0.7605774122336271,19.486424009208736,17.024110693856127,2.508531758486094,5.614816203581379,9.743733952306648,0.0,17.024110693856127,1.1793671678771913,12.796383929324199,0.5882575258053795,1.1406531754510947,10.99089691138383,0.9026972083705587,0.0005,8.404646388555957,3.0,6.702999999999999,3.0,0.0,0.0
1408,BEAM,USD,Y,Y,1.0,8,1.0,2011.5,-202.22500000000002,3132.725,93.5,-34.974999999999994,183.425,9347.175,30.7639,880.625,176.625,4861.85,-267.025,431.475,-34.99999999999999,527.375,538.075,1554.225,156.85,2.4000000000000004,346.07500000000005,291.2,907.6000000000001,2397.225,148.8,856.6500000000001,127.175,127.45,678.15,3.3850000000000002,2.1825,3.435,0.0,,-538.9,100.15,2708.7749999999996,1907.9,7265.700000000001,5128.875,163.925,-91.92500000000001,1805.0000000000002,0.2000000000000064,1195.2,9347.175,4478.7,2.1,0.0,535.975,11.25,26.224999999999998,506.775,2.5475,434.07500000000005,2.925,1798.0,-2.97375,2.4000000000000004,6268.825,553.975,3462.125,4864.25,6.5,356.36875000000003,-176.475,108.125,4868.475,3021.6,1937.525,,132.95000000000002,2635.175,1080.95,-202.95,1245.4750000000001,1.2909944487358056,69.8265649066791,833.4319063366843,71.27439933103612,97.66628128479142,335.0977208218522,2280.693688880643,4.577370879300329,51.6474184575893,51.08877078184598,668.9451821088682,533.3384252361096,295.10145571763394,462.8708315142214,111.5937087533761,255.7362883258195,1280.4677124004338,4.26341021562161,2.772483844257107,150.95881060739714,319.566842251612,1113.0186281759468,828.8008662117418,62.90442485760972,590.602328136285,13.844463393958852,13.659795020423987,93.42970619669099,1.648625690284689,0.9700300682624912,1.6892700593254273,0.0,,1072.1008565739824,95.05396712745168,634.0911626099199,796.3326231334911,1444.8752425959367,1057.950642752298,52.92267157529623,22.436781557671477,224.07263703242907,705.5904808503773,648.2382946622845,2280.693688880643,1694.7975631325412,4.2,0.0,256.2309683989557,5.545268253204709,19.446057869570033,178.65486979089036,0.36754818278243007,182.72619544006272,9.091948819330943,919.3056981584889,1.8997911069378128,2.772483844257107,749.7749323408101,263.8476122689004,2075.648599634983,669.1188907810032,10.700467279516348,151.39506665096457,340.3155141433706,55.810654598084284,675.930471646308,177.49925821441272,315.24407871785104,,54.96044031846908,1922.3658017748164,642.2917172126697,69.07022995956123,142.36927044368332,3.0,4799.820000000001,14.0,2708.52,5.0
1429,2388B,USD,Y,Y,1.0,3,1.0,2011.5,-77.61875,361.736,12.966249999999999,17.646250000000002,0.0,879.0625,,,65.78825,280.6955,280.6955,0.12675,0.0005,60.92,46.7765,1059.52625,,0.0,,76.76350000000001,12.125500000000002,131.4395,54.599999999999994,1003.6375,23.1195,23.1195,60.856249999999996,,,,0.0,0.322,-24.17125,-0.13074999999999998,0.0,397.76699999999994,493.81625,0.0,8.7,-28.438,253.97599999999997,-67.7235,303.28225,879.0625,516.68575,6.211,0.0,42.1095,0.4505,75.0835,91.89525,,51.743,4.14925,1498.4395,-0.32125000000000004,38.275,,81.04475,1457.2932500000002,318.9705,1.7372500000000002,45.9375,0.62975,0.0,362.37675,0.0,58.45375,0.0,9.56375,1341.837,282.31075,-40.8415,9.223,1.2909944487358056,27.335986993643864,55.662865053822046,1.9723620991085797,58.01252722401143,0.0,68.17076629807438,,,10.565898112165701,43.74288115415657,43.74288115415657,0.002629955639676579,0.004203173404306164,75.28565899293172,2.8630753570243352,143.05794526315788,,0.0,,51.81008250974579,10.753098297700065,6.176875234830843,1.5641824275533411,63.06746756979115,5.90371659775998,5.90371659775998,6.702831310971013,,,,0.0,0.21519138768392512,47.83375583117707,0.061304567529671054,0.0,34.28824674238484,35.61745570526713,0.0,0.7874007874011809,8.1722810769087,39.25510325210383,14.574999062321295,52.78044637537023,68.17076629807438,43.44158953794542,0.23990970523650504,0.0,7.526870553778198,0.7510794454206116,52.0885896942251,55.18858783223816,,6.773823095810324,1.5735593146324884,74.8865707698427,0.31473944250231284,0.0,,13.14938412689608,176.39047460747418,43.74288115415654,0.29632906821077576,8.416429904260669,0.2123744727284017,0.0,38.766887514776506,0.0,8.338205137598054,0.0,0.8452228010018029,170.9566320815507,29.39195915410653,48.864225970198966,1.903868868033369,4.0,4.959999999999702,5.0,4.896999999999707,4.0
1659,ANDE,USD,Y,Y,1.0,5,1.0,2011.5,-34.61225,1191.17925,25.039250000000003,48.78375,69.29175000000001,1972.34325,30.504375000000003,180.83624999999998,119.3605,567.82825,518.39175,124.228,40.789,84.2765,83.24325,4327.51125,18.49825,0.0,81.967,115.1735,94.82525,329.54150000000004,44.425,345.9065,9.84825,9.84825,102.01975,4.3925,4.3925,4.4275,0.0,-21.001,4.581500000000002,4.62125,33.1635,384.16525,914.35825,49.436499999999995,22.450000000000003,-10.931750000000008,699.8119999999999,-142.955,904.0335000000001,1972.34325,1387.5265,0.9465,4.16475,82.29675,49.006,84.20475,179.16250000000002,4.3875,130.41674999999998,-0.9737500000000001,822.663,0.3585,0.0,399.855,175.6685,4711.6765,567.82825,4.9995,79.43424999999999,-14.804749999999999,1.34525,584.81675,12.959000000000001,287.14575,21.5255,22.284,4565.231750000001,237.7205,-38.777,129.61950000000002,1.2909944487358056,11.575656968397087,85.60549474332828,15.27574099402928,175.84278257271936,101.80032114348494,297.8058660149539,5.459363199357598,2.818880791496276,55.30323195196943,106.51699244525882,81.07323071715265,134.3836186370943,129.25836469386937,25.275800936864496,15.66112099808525,932.0947607592894,0.12616226324327998,0.0,13.365348006443137,104.09136168289855,44.29933886169558,86.85063687926149,10.433080401619971,30.149991580982743,2.339720976954303,2.339720976954303,20.06716492806097,0.7042904230500368,0.7042904230500368,0.7068415664065036,0.0,24.25067887709538,182.65099712201592,6.779467991664243,25.428396115366773,46.1200092683931,181.08301955433782,31.290754220163294,2.1855586623714,182.4473315514645,80.74983856330613,98.8055604103332,103.69465543765178,297.8058660149539,200.0019673394906,3.998285757671655,2.738551609275726,13.433780291365002,25.185990987054687,108.72941992357298,279.70844790781706,0.8538686471973702,22.102997298632005,1.7261497376145172,183.0162590172433,0.22312552520946588,0.0,101.84995191293253,23.942901446288154,977.4763717875747,106.51699244525882,9.999,15.181942264304222,7.9495496885043755,0.46038561735426387,110.71587418365081,2.082659677751824,38.758496749100075,30.441654036862058,2.268388708606472,961.6478986220731,30.662070211690992,10.426477928811819,31.607407417671375,2.0,7.844000000000236,3.0,1.6440000000002328,1.0
1722,ADM,USD,Y,Y,1.0,5,1.0,2011.5,-421.75,25280.5,598.75,-423.75,141.25,39761.5,27.1344,0.0,1311.0,17885.5,17507.5,1518.25,410.75,1591.25,1633.25,75543.5,652.75,769.75,1636.0,2019.75,400.5,6744.5,831.5,12447.75,430.75,430.75,2341.0,2.4975,2.4975,2.51,0.0,-298.5,-445.75,210.5,328.75,4756.5,24702.5,378.0,415.5,-321.75,10824.75,-1274.0,13018.75,39761.5,21803.5,0.5,22.75,1632.75,630.25,1178.75,2130.5,2.6899999999999995,2347.25,34.775,21988.0,-1.2999999999999998,0.0,11879.25,6118.75,80300.0,17885.5,1622.0,1690.1,-2.25,437.5,17958.0,1284.5,12261.75,2907.0,469.25,77127.5,1584.0,-444.5,1766.5,1.2909944487358056,563.7915542704295,4808.889927346367,109.84648378532651,608.2863223844508,102.59751458977942,5552.997298756771,3.1965294200637873,0.0,304.2323673334797,2362.8091332141066,2256.463383261514,1104.4351120218275,805.7304656852274,1207.5999268521564,391.89401203216494,13125.184963776068,11.954775893619532,514.451406840335,413.9283351821504,1298.5282374031506,116.59188079221754,1199.88457778238,28.629821282478627,906.0280992699217,58.46010035343195,58.46010035343195,284.9526276418592,0.6615323121359984,0.6615323121359984,0.672061505121865,0.0,67.90925317411956,2876.400571895368,329.28052883015516,45.44135414648937,275.7565351295717,2378.9079427333877,128.0494696071275,29.96108587262261,2434.4097676165093,2167.244083315644,538.6458329304454,3128.0071797658434,5552.997298756771,3258.899865496535,17.7857620959388,27.909078570720794,409.6334743808584,151.85162714527183,943.3137954396017,3189.809868942035,0.4682591874877274,561.5219645451696,10.352495673346917,1513.761760207552,4.95025251881154,0.0,1873.598565150319,2701.398326176032,13082.430457169135,2362.8091332141066,499.48840493715835,377.65175316244284,4.5,875.0,2372.589724330778,379.68539608470587,1980.608723768192,834.3860018001261,30.72865112561891,13250.899554369884,130.90709173557659,554.3551809685436,475.908604671107,3.0,765.0,3.0,-22.0,0.0
1728,ARDNA,USD,Y,Y,1.0,5,1.0,2011.0,-0.005333333333333333,73.50566666666667,6.227,-0.758,0.0,117.66466666666668,23.887266666666665,5.306666666666666,4.207666666666666,74.16,74.16,33.101,0.9523333333333337,18.004666666666665,18.003,260.6596666666667,3.1086666666666667,0.0,18.003,0.0,0.0,1.228,5.078333333333333,90.86866666666667,23.581999999999997,23.581999999999997,29.09,5.793333333333333,5.793333333333333,5.793333333333333,0.0,0.0,-25.817333333333334,0.8346666666666667,0.0,167.869,75.388,0.0,0.08900000000000001,-0.9383333333333334,18.957666666666665,3.864666666666667,31.694,117.66466666666668,43.50466666666667,0.0,-0.005333333333333333,18.003,0.549,0.0,22.905,5.603333333333333,30.13766666666667,0.0,128.80066666666667,0.0,0.0,71.49199999999999,5.2973333333333334,428.52866666666665,74.16,0.0,17.432333333333332,-0.6606666666666667,0.0,74.16,3.753,41.81166666666667,12.508333333333333,0.401,394.3603333333333,133.70066666666665,0.0,12.134666666666666,1.0,0.006027713773341709,23.130609424166348,1.4619791380180498,0.6185006063052807,0.0,24.185453155426572,7.819319618312921,0.061776478803289625,1.57019945654472,24.487717798929324,24.487717798929324,18.39735948444776,33.504389299513186,0.9601027722766615,0.9596311791516581,7.445280473785615,0.04675824347998255,0.0,0.9596311791516581,0.0,0.0,0.0,0.1983364145418924,2.5685765188783742,35.42824908177089,35.42824908177089,2.7583997172273635,0.33605555096342854,0.33605555096342854,0.33605555096342854,0.0,0.0,33.656477093322366,0.22301868382118425,0.0,4.3256096680121345,24.48771779892933,0.0,0.004358898943540678,0.323867771371795,0.7577547976313547,29.787433614417566,1.112466179261196,24.185453155426572,0.30282723347369944,0.0,0.006027713773341709,0.9596311791516581,0.5928802577249473,0.0,4.448324066432211,0.5550075074567314,1.6266398904900046,0.0,2.2490936693106782,0.0,0.0,24.460509540890595,0.9924723337873621,11.017542663104765,24.487717798929324,0.0,1.672799250757047,1.3458816193608312,0.0,24.487717798929324,0.0,24.21597110035716,0.28379100291117904,0.5568653338106082,10.743877341692503,3.3012334563513344,0.0,0.6679950099614022,1.0,0.3899999999999999,1.0,0.0,0.0
1920,AVP,USD,Y,Y,1.0,5,1.0,2011.5,-801.8249999999999,3922.775,963.4000000000001,-11.55,0.0,7370.875,3.219075,2099.275,258.5,1388.525,567.725,1185.625,-50.925,215.62499999999997,259.24999999999994,3806.5,431.13750000000005,0.0,264.025,584.225,687.2,2506.075,191.65,1128.4,302.05,302.05,968.9749999999999,0.585,0.6125,0.5875,0.0,0.0,-229.825,640.325,451.4,6900.125,3910.7250000000004,820.8,158.175,-142.075,1113.8,-401.40000000000003,2698.1,7370.875,5966.225,4.325,0.0,255.04999999999998,-11.175,346.625,612.375,1.33,517.3,27.885,2664.0,-6.353749999999999,0.0,3671.0249999999996,808.625,10706.625,1388.525,15.125,430.0712500000001,0.0,17.175,1404.65,4569.675,1224.6750000000002,1110.6,103.35,9546.0,5739.5,-801.8249999999999,640.0500000000001,1.2909944487358056,131.02000801404347,314.2531609493638,106.79962546750802,128.40203788621633,0.0,621.1411990575626,0.6289829588311596,64.13617673876956,58.43532036933369,265.704176042957,102.79060835828666,58.26956752885669,87.22699792304368,357.05548938505336,353.39964629297515,215.08325519822938,1.983840971449061,0.0,333.86432748448385,287.4977376722583,872.6966292284317,93.62985189920302,27.231415681157674,29.37856361362817,135.10263999394436,135.10263999394436,267.3049740776752,0.8129165598838132,0.7743976153544552,0.8162260716247675,0.0,0.0,318.6312327754453,109.89362659711736,168.21815201299373,389.2932774057795,193.6764548587842,315.04343615867737,44.191279305612625,67.61964088438606,72.9357251283621,428.6880684133862,323.17057415550687,621.1411990575626,401.68724463194025,0.12583057392117905,0.0,353.41436963805904,14.698611045492246,324.6319595583076,79.53960753402463,0.4757450297515816,386.89511067816125,11.43076331659439,121.19370170653814,3.3196168830152666,0.0,319.74812352850483,58.52414743790234,557.2660189113758,265.704176042957,13.59224656437142,256.7842770814639,0.0,6.425145912740037,264.9329789462485,9.252161909521577,12.778464957367412,,14.03483760742057,451.72766869726587,243.87305440877816,131.0200080140435,196.1567825320688,3.0,522.6999999999998,5.0,90.5,1.0
1932,BTI,GBP,E,E,1.6574,3,4.0,2011.5,379.06275,14309.2355,1404.9095,437.00375,126.0935,43502.1595,12.831175,265.58175,897.12825,12501.2755,-6354.04825,3467.0550000000003,-83.08999999999999,5282.9505,5934.86125,15113.274,974.125,0.0,5489.195750000001,2684.8105,2452.15525,14454.8915,749.09075,5078.574,3834.9845,3834.9845,8680.02825,5.6225000000000005,5.6225000000000005,5.6475,0.0,-288.23725,-6310.04825,1979.45525,17439.0825,9429.118999999999,27456.5455,18855.32375,921.0136666666667,-592.8845,6058.642000000001,-751.5305000000001,12795.353500000001,43502.1595,30500.50575,445.6655,47.961,5489.195750000001,1252.35375,637.27775,7139.15375,6.305,8302.8365,4.09975,10070.5815,-1.847,0.0,15254.79275,,24542.393,12501.2755,226.517,5739.99575,-12.697,8.326,13001.653999999999,3826.547,1513.8819999999998,,934.7855,15113.274,,7219.316250000001,5539.530250000001,1.2909944487358056,1204.9989840854291,1257.8923736177376,160.99372916669776,410.84252852512316,221.78300694973603,1188.206130340047,1.048984125634574,15.541017928372634,146.9020637712419,1317.8889518975668,1121.0111819562367,90.70334756777162,288.75811736353546,1116.8537355212034,1053.8217288717526,252.24752857064723,18.254565638948154,0.0,1019.4998580736777,503.02773390639214,387.87474916126797,1274.3629174361342,39.5904913531435,203.59775430162887,494.5232846681739,494.5232846681739,851.7328963019542,1.144767079657109,1.144767079657109,1.1516184263895746,0.0,105.78806600738729,268.6347896772053,342.2202138081801,406.3546118621848,816.0697987651963,834.7924194742467,298.9985654183795,22.037917422781437,483.6531383994801,656.5725719126556,243.48117649146238,1004.5227994988476,1188.206130340047,2302.7141927786547,36.710189452884435,17.625045040131575,1019.4998580736777,196.77503668466173,528.8466032744435,185.36058299860645,0.7711679453919227,1329.1901969054943,24.390965709663895,218.57100232266146,2.5415306411688214,0.0,1383.1442944507205,,1061.635325632425,1317.8889518975668,206.77894526119755,792.0049090834282,20.585542208064375,1.7536328007881243,1328.5475945379842,2642.869506694444,351.6335437478437,,61.19875034399531,252.24752857064723,,990.2102569102433,603.5531126401245,,,,,
2390,BRID,USD,Y,Y,1.0,5,1.0,2011.5,-15.80475,39.833999999999996,12.0935,-1.8455000000000001,0.0,60.95075,3.110825,9.3225,2.25975,28.65925,28.65675,10.769749999999998,-1.3965,1.3684999999999996,2.6107500000000003,78.34049999999999,9.23675,0.0,2.6107500000000003,0.13175,0.07225000000000001,0.6990000000000001,1.9805,56.416,0.58075,0.58075,2.68025,0.28250000000000003,0.28250000000000003,0.28250000000000003,0.0,0.0,-1.18275,1.2695,0.0,44.728500000000004,29.35825,0.0025,,-0.8310000000000001,17.36725,-2.2127499999999998,13.861500000000001,60.95075,32.2915,0.0,0.068,2.6107500000000003,0.19775,0.0,1.9989999999999999,0.28250000000000003,2.878,0.13325,65.43674999999999,0.0045000000000000005,0.0,10.075,11.32875,123.069,28.65925,0.0,2.7485,-0.0335,0.0,28.65925,0.0,25.9725,8.669749999999999,0.0,118.40825,40.067750000000004,-15.87275,0.26725,1.2909944487358056,6.963415463453739,1.791953310403666,0.8530089878385414,0.6488705571991997,0.0,3.212536835067677,0.7951041289248431,0.7408812320473499,1.4585230828935596,7.460419173880244,7.457050863668109,3.3310995557022904,3.5597182004572594,10.247349852522847,2.1149314212679964,6.472511954411517,0.08412441183548613,0.0,2.1149314212679964,0.1544287861766711,0.09737342210959485,0.8091567627268939,0.25965297353711675,0.7626930356746849,0.4471370967984353,0.4471370967984353,2.8797478332891115,0.22896506283710621,0.22896506283710621,0.22896506283710621,0.0,0.0,0.7808949459861211,1.7638148995855545,0.0,4.104991148995738,7.226675232544125,0.005,,0.4988139265631358,1.1198048565114656,1.4393464662825277,1.7738741969673792,3.212536835067677,7.013395302324453,0.0,0.0,2.1149314212679964,0.18194390161072543,0.0,3.1171972453899457,0.22896506283710621,2.8433558811141926,0.5347169812152968,2.30239011681339,0.03759875884476331,0.0,7.044039891993798,1.6929080256568383,5.943937639870271,7.460419173880244,0.0,2.5463879646799046,0.02263478149515328,0.0,7.460419173880244,0.0,2.6273901499396684,1.185489596467777,0.0,6.178178716256117,1.201736625332967,6.963415463453742,0.768824373096136,4.0,1.5820000000000252,7.0,3.3600000000000136,4.0
