gvkey,rat_spcsrc
1239,6.0
1266,3.0
1408,4.0
1429,0.0
1659,6.0
1722,5.0
1728,4.0
1902,1.0
1920,3.0
1932,0.0
2348,0.0
2390,3.0
2435,7.0
2597,0.0
2606,1.0
2663,6.0
2675,4.0
2710,4.0
2807,8.0
2812,0.0
2946,0.0
2950,4.0
3026,8.0
3121,7.0
3138,4.0
3144,8.0
3170,8.0
3362,5.0
3505,5.0
3516,4.0
3538,0.0
3872,0.0
3937,3.0
4579,2.0
4735,0.0
4809,7.0
5071,7.0
5210,4.0
5301,1.0
5568,5.0
5597,6.0
5709,8.0
5824,5.0
5888,2.0
6349,2.0
6375,8.0
6435,7.0
6502,5.0
6573,4.0
6574,4.0
6588,2.0
6641,2.0
6771,7.0
7146,8.0
7241,8.0
7660,2.0
7691,3.0
7770,4.0
7798,4.0
7799,3.0
8073,3.0
8105,5.0
8336,4.0
8439,1.0
8479,7.0
8543,6.0
8582,3.0
8762,8.0
8815,7.0
9155,3.0
9230,1.0
9255,0.0
9284,6.0
9303,0.0
9359,5.0
9411,3.0
9504,0.0
9521,2.0
9538,4.0
9774,2.0
9777,7.0
10073,0.0
10190,2.0
10247,7.0
10345,3.0
10598,2.0
10609,4.0
10793,4.0
10845,0.0
10846,4.0
10884,2.0
10902,6.0
11017,6.0
11172,0.0
11178,5.0
11234,6.0
11259,8.0
11264,7.0
11343,5.0
11424,0.0
11443,5.0
11535,1.0
11670,2.0
11930,2.0
11976,4.0
12368,0.0
12575,2.0
12756,4.0
12761,3.0
12763,0.0
12785,3.0
12825,6.0
12828,1.0
12972,5.0
12978,0.0
13155,2.0
13163,0.0
13288,2.0
13323,3.0
13550,3.0
13765,3.0
13963,4.0
14269,0.0
14309,6.0
14312,5.0
14382,4.0
14503,3.0
14868,0.0
14891,2.0
14953,0.0
15000,0.0
15086,2.0
15087,4.0
15254,0.0
15265,0.0
15416,4.0
15859,2.0
16474,0.0
16603,0.0
17452,0.0
17934,0.0
18636,0.0
18729,0.0
19034,0.0
19344,0.0
20255,0.0
20302,0.0
20338,3.0
20421,0.0
20879,0.0
21066,0.0
21506,6.0
21894,8.0
22496,3.0
22500,0.0
22578,0.0
22789,0.0
22817,4.0
23079,0.0
23667,0.0
23938,0.0
23994,0.0
24283,5.0
24316,5.0
24432,1.0
24463,5.0
24755,3.0
24887,0.0
24893,5.0
25027,0.0
25031,2.0
25359,2.0
25536,3.0
25581,0.0
25731,2.0
25753,0.0
25849,2.0
27301,2.0
27748,2.0
27783,2.0
27791,0.0
27795,0.0
27906,3.0
27971,0.0
28004,0.0
28536,0.0
28582,0.0
28730,0.0
28762,4.0
28844,0.0
28877,5.0
29028,7.0
29107,0.0
29205,0.0
29230,0.0
29247,0.0
29254,0.0
29387,0.0
29517,4.0
29609,4.0
29942,3.0
29962,0.0
30197,0.0
30436,0.0
30443,4.0
30567,0.0
30600,0.0
30651,4.0
30666,4.0
30672,0.0
31205,0.0
31343,1.0
31372,0.0
31392,2.0
31403,3.0
31441,0.0
31474,2.0
31808,0.0
60911,0.0
61192,3.0
61205,0.0
61332,2.0
61361,0.0
61417,0.0
61447,0.0
61567,6.0
61581,5.0
61763,3.0
61830,0.0
61880,2.0
61940,0.0
62290,3.0
62437,0.0
62556,3.0
62641,0.0
62655,3.0
62715,2.0
63079,0.0
63412,0.0
63414,0.0
63437,0.0
63572,2.0
63658,0.0
63863,5.0
63904,0.0
63927,5.0
63969,0.0
64028,6.0
64072,0.0
64098,0.0
64102,3.0
64275,4.0
64370,0.0
64592,0.0
64641,2.0
64655,7.0
64708,4.0
64746,0.0
64791,0.0
65105,4.0
65158,3.0
65186,0.0
65229,0.0
65238,0.0
65343,5.0
65459,1.0
65570,0.0
65585,0.0
65613,0.0
65637,2.0
66016,6.0
66073,2.0
66482,0.0
66496,4.0
66798,0.0
100135,0.0
100581,0.0
100781,0.0
104833,0.0
105104,0.0
106254,0.0
107320,0.0
108533,0.0
108693,2.0
108846,1.0
109084,4.0
110289,0.0
110330,0.0
111861,2.0
111961,1.0
112968,2.0
114415,1.0
114959,0.0
116595,0.0
116924,1.0
117114,2.0
118261,2.0
119417,7.0
119473,0.0
120593,0.0
120656,0.0
120877,5.0
122200,0.0
123434,2.0
126017,0.0
126314,0.0
127479,0.0
127539,0.0
127644,0.0
129438,0.0
130298,2.0
130638,0.0
133367,5.0
133428,0.0
135346,0.0
137884,2.0
139134,0.0
139161,0.0
141037,1.0
141038,0.0
141467,0.0
142024,0.0
142646,0.0
142953,5.0
144040,0.0
144296,0.0
144343,0.0
144382,0.0
144383,0.0
144435,0.0
146139,8.0
146204,0.0
146564,0.0
147175,8.0
147202,0.0
147308,0.0
147708,6.0
147855,0.0
147856,0.0
148276,0.0
148278,0.0
148429,0.0
148792,0.0
149379,0.0
149662,0.0
149762,0.0
150049,0.0
151161,3.0
154154,0.0
157875,0.0
158133,0.0
158743,0.0
160163,1.0
160196,0.0
160362,0.0
160381,0.0
160477,0.0
160742,3.0
162517,0.0
162940,0.0
163136,0.0
163579,0.0
163626,0.0
163627,0.0
163887,4.0
163983,0.0
164182,0.0
164275,0.0
164342,0.0
164408,0.0
164700,3.0
165124,0.0
165360,0.0
165486,0.0
165510,0.0
165691,0.0
165702,0.0
165829,0.0
165832,1.0
166312,0.0
170527,0.0
170853,2.0
175269,0.0
175399,0.0
175487,0.0
175983,0.0
176161,0.0
176378,0.0
176554,0.0
177602,0.0
177674,0.0
177795,0.0
178317,0.0
178413,0.0
178795,0.0
178838,0.0
179621,0.0
179624,0.0
179645,0.0
179700,0.0
179846,0.0
179894,0.0
179895,0.0
180833,0.0
180866,0.0
182497,0.0
183471,0.0
183635,0.0
183755,0.0
183998,0.0
184259,0.0
184339,0.0
184526,0.0
184527,0.0
184761,0.0
184767,0.0
184807,0.0
185083,0.0
185334,0.0
185361,0.0
185580,0.0
185699,0.0
185793,0.0
185807,0.0
186250,0.0
186275,0.0
186327,0.0
186362,0.0
186658,0.0
186772,0.0
186885,0.0
186960,0.0
187364,0.0
187649,0.0
187659,0.0
187665,0.0
187742,0.0
189255,0.0
190262,0.0
199456,0.0
201140,0.0
205677,0.0
205942,0.0
209418,0.0
212773,0.0
221261,0.0
221545,0.0
222519,0.0
241637,0.0
264393,0.0
272705,0.0
277487,0.0
