,tic,lawsuit,SettlementAmount,Dismissed
0,AAC,1,,Ongoing
1,AAI,1,,Yes
2,AAMC,1,,Ongoing
3,AAPL,1,16500000.0,No
4,AAVL,1,,Ongoing
5,ABAT,1,275000.0,No
6,ABGB,1,,Ongoing
7,ABMD,1,,Ongoing
8,ABPI,1,,Ongoing
9,ABRX,1,9150000.0,No
10,ABX,1,,Ongoing
11,ACA,1,,Yes
12,ACAD,1,,Ongoing
13,ACAS,1,18000000.0,No
14,ACCN.PK,1,3400000.0,No
15,ACHN,1,,Ongoing
16,ACPW,1,,Ongoing
17,ACRX,1,,Ongoing
18,ACTI,1,,Yes
19,ACUR,1,1500000.0,No
20,ACV,1,,Yes
21,ACXM,1,,Yes
22,AD,1,12500000.0,No
23,ADAT,1,1900000.0,No
24,ADBL,1,,Yes
25,ADCT,1,,Yes
26,ADES,1,,Ongoing
27,ADEX,1,,No
28,ADHD,1,,Ongoing
29,ADLR,1,,Yes
30,ADRX,1,8000000.0,No
31,ADT,1,,Ongoing
32,ADUS,1,3000000.0,No
33,ADVNB,1,13250000.0,No
34,AEGR,1,,Ongoing
35,AEHI,1,450000.0,No
36,AEM,1,,Yes
37,AERI,1,,Ongoing
38,AET,1,,Yes
39,AEYE,1,,Ongoing
40,AEZS,1,,Ongoing
41,AFAM,1,,Yes
42,AFFY,1,,Ongoing
43,AFSI,1,,Yes
44,AGEN,1,,Yes
45,AGIX,1,,Yes
46,AGM,1,,yES
47,AGN,1,,Ongoing
48,AGP,1,5000000.0,No
49,AH,1,14000000.0,Ongoing
50,AHM,1,37250000.0,No
51,AIG,1,960000000.0,No
52,AKNS,1,4770000.0,No
53,AKRX,1,,Ongoing
54,ALC,1,,Ongoing
55,ALD,1,,No
56,ALGN,1,,Ongoing
57,ALIFE,1,,Yes
58,ALLT,1,1300000.0,No
59,ALMI,1,1250000.0,No
60,ALTE,1,,No
61,ALTH,1,,Yes
62,ALTI,1,,Ongoing
63,ALV,1,,Ongoing
64,ALVR,1,,Yes
65,AMAG,1,,Yes
66,AMBO,1,,Ongoing
67,AMCN,1,,Ongoing
68,AMD,1,,Ongoing
69,AMED,1,1200000.0,No
70,AMGHF,1,,Yes
71,AMGN,1,,Ongoing
72,AMKR,1,11250000.0,No
73,AMPE,1,,Ongoing
74,AMRI,1,,Ongoing
75,AMRN,1,,Ongoing
76,AMRS,1,,Ongoing
77,AMSC,1,10000000.0,No
78,AMT,1,14000000.0,No
79,AMTD,1,,Ongoing
80,ANAD,1,,Yes
81,ANDS,1,,Yes
82,ANF,1,12000000.0,No
83,ANFI,1,,Ongoing
84,ANGI,1,,Ongoing
85,ANR,1,,Yes
86,ANSI,1,3000000.0,No
87,ANV,1,,Ongoing
88,ANW,1,,Yes
89,ANZBY,1,,Yes
90,AOB,1,,Ongoing
91,AOL,1,,Yes
92,AONE,1,,Ongoing
93,APC,1,12500000.0,No
94,APEI,1,,Yes
95,APN,1,2000000.0,No
96,APOL,1,,Yes
97,APP,1,4800000.0,No
98,APPY,1,,Ongoing
99,APSG,1,2700000.0,No
100,APWR,1,3675000.0,No
101,ARA,1,37500000.0,No
102,ARAY,1,13500000.0,No
103,ARB,1,7000000.0,No
104,ARBX,1,,Yes
105,ARCI,1,,Ongoing
106,ARCP,1,,Ongoing
107,ARD,1,,Yes
108,ARIA,1,,Ongoing
109,ARNA,1,,Ongoing
110,ARO,1,15000000.0,No
111,ARTC,1,74000000.0,No
112,ARTX,1,2900000.0,No
113,ARUN,1,,Ongoing
114,ARWR,1,,Ongoing
115,ASGRE,1,10500000.0,No
116,ASN,1,,Yes
117,ASPS,1,,Ongoing
118,AT,1,,Ongoing
119,ATEA,1,,Yes
120,ATEC,1,,Yes
121,ATHN,1,,Yes
122,ATHR,1,,Yes
123,ATOS,1,,Ongoing
124,ATPAQ,1,,Ongoing
125,ATRC,1,2750000.0,No
126,ATSC,1,,Yes
127,ATSI,1,,Yes
128,ATYT,1,,Yes
129,AUTH,1,,Yes
130,AV,1,,Yes
131,AVEO,1,,Ongoing
132,AVID,1,,Ongoing
133,AVNR,1,,Yes
134,AVP,1,,Ongoing
135,AXDX,1,,Ongoing
136,AXE,1,,Yes
137,AXP,1,,Ongoing
138,AXST,1,,Ongoing
139,AXSYS,1,,Yes
140,AXYX,1,,Yes
141,AZN,1,,Yes
142,AZPN,1,,Yes
143,BA,1,,Yes
144,BABA,1,,Ongoing
145,BAC,1,2425000000.0,Ongoing
146,BAC2,1,,Yes
147,BAH,1,,Yes
148,BAK,1,,Ongoing
149,BARE,1,,Yes
150,BAX,1,,Ongoing
151,BBC,1,,Yes
152,BBDC,1,3750000.0,No
153,BBDSVB.T,1,,Yes
154,BBI,1,,Yes
155,BBLKF,1,,Yes
156,BBLU,1,,Ongoing
157,BBND,1,11000000.0,No
158,BBRY,1,,Ongoing
159,BBSI,1,,Ongoing
160,BBX,1,,Yes
161,BBY,1,,Ongoing
162,BCGI,1,,Yes
163,BCOR,1,,Yes
164,BCS,1,,Ongoing
165,BCS.PR,1,,Ongoing
166,BCS.PRC,1,,Yes
167,BCS.PRD,1,,Yes
168,BCSI,1,,Yes
169,BDBD,1,,Ongoing
170,BDY,1,3500000.0,No
171,BE,1,7500000.0,No
172,BEAT,1,,Yes
173,BEC,1,5500000.0,Yes
174,BEXP,1,,Yes
175,BGC,1,,Ongoing
176,BHIP,1,2750000.0,No
177,BICO,1,375000.0,No
178,BIDZ,1,,No
179,BIG,1,,Ongoing
180,BIIB,1,,Yes
181,BIOL,1,,Ongoing
182,BIOS,1,,Ongoing
183,BIVN,1,,Yes
184,BIZM,1,,Ongoing
185,BJ,1,,Yes
186,BK,1,,Ongoing
187,BKFG,1,,Yes
188,BKR,1,4500000.0,No
189,BKS,1,,Yes
190,BKUNA,1,3000000.0,No
191,BLOX,1,,Ongoing
192,BLUD,1,3900000.0,No
193,BMTI,1,,Yes
194,BMY,1,125000000.0,No
195,BNNY,1,,Ongoing
196,BODY,1,,Ongoing
197,BOL,1,,Yes
198,BOX,1,,Ongoing
199,BP,1,,Ongoing
200,BPAX,1,,Yes
201,BPI,1,,Ongoing
202,BPOP,1,37500000.0,No
203,BPT,1,43250000.0,No
204,BQI,1,10235000.0,No
205,BRCD,1,160000000.0,No
206,BRCM,1,160500000.0,No
207,BRKS,1,7750000.0,No
208,BRLC,1,10000000.0,No
209,BRVO,1,,Yes
210,BSC,1,275000000.0,No
211,BSX,1,,Yes
212,BTH,1,,Ongoing
213,BTRX,1,,Yes
214,BUCA,1,1600000.0,No
215,BUCY,1,,Yes
216,BVF,1,,Yes
217,BWEN,1,3915000.0,No
218,BWTR,1,7000000.0,No
219,BX,1,85000000.0,No
220,BXC,1,,Yes
221,BXS,1,29250000.0,Ongoing
222,BZH,1,30500000.0,No
223,C,1,590000000.0,Yes
224,C.D. Cal,1,,Yes
225,CAAS,1,,Ongoing
226,CACS,1,7400000.0,No
227,CAFE,1,,Yes
228,CAG,1,,Yes
229,CAGC,1,,Yes
230,CALL,1,,Yes
231,CAMT,1,,Yes
232,CANV,1,,Ongoing
233,CAO,1,10000000.0,No
234,CAOLF.PK,1,,Yes
235,CARYF,1,,Yes
236,CASH,1,2100000.0,No
237,CAST,1,,Yes
238,CBC,1,,Yes
239,CBDE,1,,Ongoing
240,CBEH,1,,Ongoing
241,CBEY,1,2300000.0,No
242,CBF,1,,Yes
243,CBI,1,10500000.0,No
244,CBMG,1,,Ongoing
245,CBR,1,3000000.0,No
246,CBRX,1,,Yes
247,CBS,1,,Yes
248,CCCL,1,,Ongoing
249,CCCR,1,,Ongoing
250,CCE,1,,Yes
251,CCME,1,,Ongoing
252,CCRT,1,,Yes
253,CDM,1,260000.0,No
254,CDNS,1,38000000.0,No
255,CDSS,1,,Yes
256,CDWC,1,,No
257,CDZI,1,,Ongoing
258,CECO,1,27500000.0,No
259,CEDC,1,1150000.0,Ongoing
260,CEG,1,4000000.0,Yes
261,CELL,1,,No
262,CELM,1,2750000.0,No
263,CENX,1,,Yes
264,CEO,1,,Yes
265,CESV,1,,Yes
266,CEU,1,2425000.0,No
267,CFC,1,624000000.0,No
268,CFHI,1,6349000.0,No
269,CFMS,1,,Ongoing
270,CFSG,1,,Yes
271,CFW,1,,Yes
272,CGA,1,2500000.0,No
273,CGC,1,,Yes
274,CHBT,1,,Yes
275,CHE,1,6000000.0,No
276,CHH,1,,Yes
277,CHK,1,,Yes
278,CHME,1,700000.0,No
279,CHNG,1,,Ongoing
280,CHOP,1,,Ongoing
281,CHRD,1,,Yes
282,CHTP,1,,Ongoing
283,CHTR,1,,Yes
