gvkey,st_prc_end,st_per_growth,st_per_currentToMax,st_per_lowToStart,st_volatility
1239,37.49,0.25,0.99,-0.14,0.14
1266,38.38,0.33,0.81,-0.38,0.27
1408,449.61,9.36,0.81,-0.42,0.89
1659,54.81,1.08,0.59,-0.07,0.29
1722,40.82,0.3,0.85,-0.25,0.18
1728,126.38,0.32,0.79,-0.23,0.16
1902,0.0,0.0,0.0,0.0,0.0
1920,14.3,-0.55,0.4,-0.59,0.28
1932,121.55,2.74,0.99,-0.13,0.36
2030,0.05,-0.95,0.05,-0.95,0.86
2348,45.0,1.81,0.75,-0.34,0.34
2390,8.3,-0.25,0.49,-0.45,0.22
2435,91.89,0.71,0.94,-0.09,0.14
2597,52.05,0.01,0.75,-0.05,0.06
2606,3.0,-0.19,0.25,-1.0,0.53
2626,0.51,-0.27,0.38,-0.34,0.17
2663,45.29,0.34,0.93,-0.12,0.13
2675,20.32,0.92,0.98,-0.2,0.18
2710,89.47,4.59,0.94,-0.09,0.62
2797,1.25,0.0,1.0,-0.8,0.0
2807,68.89,1.17,0.89,-0.09,0.24
2812,13.65,0.13,0.9,-0.33,0.16
2946,1105.0,1.91,0.55,-0.01,0.48
2950,93.49,0.01,1.0,-0.0,0.0
3026,67.72,0.1,0.8,-0.4,0.17
3121,92.77,0.51,0.96,-0.04,0.13
3138,72.64,0.36,0.81,-0.15,0.13
3144,41.97,-0.26,0.52,-0.38,0.25
3170,69.52,-0.16,0.56,-0.33,0.2
3362,30.59,0.32,0.82,-0.09,0.16
3505,73.0,0.59,0.95,-0.17,0.14
3516,20.07,0.16,0.9,-0.2,0.12
3538,72.55,0.42,0.89,-0.19,0.18
3872,0.01,-0.5,0.2,-1.0,1.0
3937,2.56,-0.5,0.43,-0.57,0.21
4579,22.22,0.09,0.91,-0.78,0.34
4735,32.85,0.06,0.44,-0.19,0.14
4809,20.89,-0.13,0.58,-0.26,0.16
4853,0.0,-1.0,0.0,-1.0,1.25
5071,52.91,-0.25,0.7,-0.53,0.23
5210,4.22,0.17,0.86,-0.2,0.1
5301,0.42,-0.97,0.02,-1.0,1.08
5568,1071.3,24.01,0.21,-0.07,0.99
5597,96.28,1.66,0.89,-0.01,0.29
5709,48.76,0.27,0.93,-0.33,0.21
5824,29.98,0.02,1.0,-0.02,0.01
5888,5.5,5.96,0.9,-0.18,0.69
6014,0.0,-1.0,0.0,-1.0,1.75
6340,0.0,0.0,0.0,0.0,0.0
6349,1.05,-0.4,0.48,-0.98,0.63
6354,0.0,0.0,0.0,0.0,0.0
6375,65.95,0.25,0.95,-0.12,0.1
6435,112.61,0.75,0.99,-0.09,0.21
6502,48.82,1.38,0.97,-0.07,0.29
6573,93.46,0.87,0.94,-0.13,0.19
6574,27.32,0.01,0.84,-0.41,0.13
6588,0.01,-0.97,0.01,-1.0,1.55
6641,0.02,1.0,0.13,-1.0,0.5
6770,0.03,0.0,0.0,-1.0,0.0
6771,26.11,-0.29,0.5,-0.3,0.21
7146,70.26,0.94,0.93,-0.02,0.21
7241,76.9,1.33,0.97,-0.19,0.3
7660,0.07,6.0,0.11,-1.0,0.9
7691,28.29,-0.25,0.63,-0.5,0.25
7770,31.2,0.66,0.63,-0.6,0.53
7798,54.98,0.25,1.0,-0.28,0.17
7799,16.34,1.03,0.77,-0.06,0.25
8073,3.07,2.13,0.7,-0.07,0.22
8105,30.47,0.91,0.73,-0.05,0.24
8336,31.0,0.72,0.89,-0.38,0.26
8439,0.0,-1.0,0.0,-1.0,1.0
8479,89.85,0.47,1.0,-0.04,0.12
8543,43.43,1.19,1.0,-0.03,0.2
8582,30.36,0.26,0.76,-0.3,0.13
8762,81.16,0.33,0.95,-0.36,0.11
8768,25.36,0.0,0.97,-0.03,0.01
8815,14.75,-0.86,0.15,-0.86,0.97
9155,7.3,3.9,0.85,-0.43,0.85
9230,0.0,-1.0,0.0,-1.0,1.0
9284,49.37,0.87,0.99,-0.05,0.14
9303,0.0,0.0,0.0,0.0,0.0
9359,34.64,0.61,0.86,-0.31,0.24
9411,62.78,4.1,1.0,-0.05,0.41
9504,246.0,0.49,0.62,-0.27,0.28
9521,0.72,2.6,0.85,-0.4,0.48
9538,2929.0,1.1,0.94,-0.16,0.21
9774,33.97,1.22,0.98,-0.13,0.21
9777,106.47,0.71,0.93,-0.14,0.2
10073,19300.0,0.0,0.88,-0.35,0.0
10190,8.15,-0.37,0.46,-0.87,0.44
10247,36.97,0.32,0.85,-0.11,0.09
10345,3.99,-0.39,0.51,-0.77,0.29
10598,4.7,2.2,0.78,-0.25,0.44
10609,70.0,1.52,1.0,-0.38,0.27
10793,12.0,-0.02,0.27,-0.02,0.34
10845,44.89,0.4,0.98,-0.2,0.15
10846,42.82,0.3,0.96,-0.21,0.13
10871,0.0,-1.0,0.0,-1.0,0.67
10884,10.41,-0.44,0.56,-0.75,0.29
10902,28.62,1.49,0.81,-0.04,0.31
11017,1260.0,25.38,0.36,-0.27,0.94
11172,2.42,5.54,0.54,0.0,0.5
11178,23.72,-0.14,0.6,-0.24,0.14
11234,69.69,1.15,0.88,-0.1,0.27
11259,76.82,0.42,0.94,-0.12,0.16
11264,71.66,0.92,0.94,-0.3,0.28
11343,44.2,0.21,0.82,-0.11,0.11
11443,23.14,-0.66,0.26,-0.74,0.59
11535,9.51,-0.07,0.68,-0.51,0.24
11670,12.23,0.7,0.92,-0.62,0.32
11922,22.78,0.28,0.51,-0.04,0.29
11930,3.67,-0.38,0.56,-0.56,0.21
11976,13.16,0.6,0.94,-0.13,0.14
12151,17.49,0.01,0.92,-0.26,0.07
12368,25.5,0.87,0.83,-0.21,0.3
12575,4.65,-0.13,0.39,-0.74,0.39
12756,48.34,1.24,0.99,-0.13,0.23
12761,14.64,3.36,0.97,-0.21,0.35
