,gvkey,fyear,datafmt,tic,conm,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
0,1239,2010,SUMM_STD,ACV,ALBERTO-CULVER CO,1878.275,25.833,734.501,99.852,97.985,150.241,26.658,1.56,1.55,1.59,1.58,155.136,155.136,0,155.31,-13.684,217.844,247.049,902.902,1598.464,1324.612,1324.612,62.708,520.68,0.174,3.814,601.963,271435550,1878.275,1
1,1239,2010,STD,ACV,ALBERTO-CULVER CO,1878.275,25.833,734.501,99.852,97.985,150.241,26.658,1.56,1.55,1.59,1.58,155.136,155.136,0,155.31,1.49,217.844,247.049,902.902,1598.464,1327.24,1327.24,62.708,520.68,0.174,3.814,601.963,271435550,1878.275,1
2,1266,2010,SUMM_STD,ALCO,ALICO INC,188.817,8.203,62.648,7.374,7.374,72.179,7.221,-0.08,-0.08,-0.08,-0.08,-0.623,-0.623,0,-0.623,-1.412,-1.824,124.973,88.72,79.792,105.237,105.237,-1.201,29.529,0,3.877,6.458,3402199,188.817,1
3,1266,2010,STD,ALCO,ALICO INC,188.817,8.203,62.648,7.374,7.374,72.179,7.221,-0.08,-0.08,-0.08,-0.08,-0.623,-0.623,0,-0.623,1.688,-1.824,124.973,88.72,79.792,105.237,105.237,-1.201,29.529,0,3.877,6.458,3402199,188.817,1
4,1266,2011,SUMM_STD,ALCO,ALICO INC,180.035,12.265,67.832,7.363,7.363,53.879,7.327,0.96,0.96,0.96,0.96,7.097,7.097,0,7.097,-0.563,12.527,128.78,94.935,98.592,110.662,110.662,5.43,17.354,0,2.147,8.196,2565077,180.035,1
5,1266,2011,STD,ALCO,ALICO INC,180.035,12.265,67.832,7.363,7.363,53.879,7.327,0.96,0.96,0.96,0.96,7.097,7.097,0,7.097,1.122,12.527,128.78,94.935,98.592,110.662,110.662,5.43,17.354,0,2.147,8.196,2565077,180.035,1
6,1266,2012,SUMM_STD,ALCO,ALICO INC,185.083,15.921,86.526,7.355,7.355,36.633,8.429,2.51,2.51,2.51,2.51,18.489,18.489,0,18.489,7.436,29.462,122.834,111.659,127.187,127.546,127.546,10.973,34.319,0,1.716,8.49,3678691,185.083,1
7,1266,2012,STD,ALCO,ALICO INC,185.083,15.921,86.526,7.355,7.355,36.633,8.429,2.51,2.51,2.51,2.51,18.489,18.489,0,18.489,9.354,29.462,122.834,111.659,127.187,127.546,127.546,10.973,34.319,0,1.716,8.49,3678691,185.083,1
8,1266,2013,STD,ALCO,ALICO INC,198.84,18.924,70.312,7.357,7.313,34,9.675,2.67,2.67,2.69,2.69,19.646,19.646,0,19.646,21.076,31.675,131.071,128.679,101.661,142.736,142.736,12.029,48.304,0,1.27,7.923,3285061,198.84,1
9,1266,2013,SUMM_STD,ALCO,ALICO INC,198.84,18.924,70.312,7.357,7.313,34,9.675,2.67,2.67,2.69,2.69,19.646,19.646,0,19.646,19.194,31.675,131.071,128.679,101.661,142.736,142.736,12.029,48.304,0,1.27,7.923,3285061,198.84,1
10,1408,2010,SUMM_STD,BEAM,BEAM INC,12674,223,776.5,154.3,152.4,3620.6,101.2,3.16,2.01,3.2,2.03,309.5,309.5,0,487.6,-11,345.7,668.2,7502.3,2094.9,5674.1,5691,36.2,,178.1,143.7,716.8,326002347,12674,1
11,1408,2010,STD,BEAM,BEAM INC,12675.3,223,3474,154.3,152.4,3637.4,242.4,3.16,3.16,3.2,3.2,487.6,496,8.4,487.6,4.8,587.6,1432.1,7499.3,6570.5,5671.1,5688,91.6,2236.1,0,213.8,2041.9,326002347,12675.3,1
12,1408,2011,SUMM_STD,BEAM,BEAM INC,7520.4,218.5,859,157.8,154.6,1902.1,107.2,5.72,0.76,5.83,0.77,119.6,119.6,0,902.7,-314.2,159.4,729.7,5886.9,2252.7,4094,4094,39.8,,783.1,117.4,695.5,241260068,7520.4,1
13,1408,2011,STD,BEAM,BEAM INC,7491.8,218.5,861.2,157.8,154.6,1902.1,107.2,5.78,0.85,5.89,0.86,133.3,133.3,0,911.4,14.4,169.3,729.7,5892.6,2264.8,4099.7,4099.7,36,1675.7,778.1,117.4,695.5,241260068,7491.8,1
14,1408,2012,STD,BEAM,BEAM INC,8636.9,136.5,924.8,160.8,158.3,2024.9,119.1,2.38,2.48,2.41,2.51,398.2,398.2,0,382.4,17.1,502,787.9,6139.7,2465.9,4612.1,4612.1,103.8,1654.8,-15.8,109,790.1,208057651,8636.9,1
15,1408,2012,SUMM_STD,BEAM,BEAM INC,8676.1,136.5,921,160.8,158.3,2024.9,119.1,2.4,2.51,2.43,2.55,403.4,403.4,0,385.2,-20.9,499.6,787.9,6136.8,2459.7,4609.2,4609.2,96.2,1651.9,-18.2,109,790.1,208057651,8676.1,1
16,1408,2013,SUMM_STD,BEAM,BEAM INC,8584.7,128.5,956.9,163.4,162.1,2024.5,126.5,2.22,2.24,2.24,2.26,365.5,365.5,0,362.5,-98.6,477.4,815.7,6352.6,2547.3,5074.1,5074.1,111.9,2183.5,-3,91.6,796.3,185976838,8584.7,1
17,1408,2013,STD,BEAM,BEAM INC,8584.7,128.5,956.9,163.4,162.1,2024.5,126.5,2.22,2.24,2.24,2.26,365.5,365.5,0,362.5,8.7,477.4,815.7,6352.6,2547.3,5074.1,5074.1,111.9,2183.5,-3,91.6,796.3,185976838,8584.7,1
