,gvkey,fyear,datafmt,tic,gvkey_diff,fyear_diff,cogs,dp,mii,nopi,pi,txt,wcap,xsga,sum_diff
1,1239,2010,STD,ACV,0,0,0,0,0,15.174,0,0,0,0,15.174
3,1266,2010,STD,ALCO,0,0,0,0,0,3.1,0,0,0,0,3.1
5,1266,2011,STD,ALCO,0,0,0,0,0,1.685,0,0,0,0,1.685
7,1266,2012,STD,ALCO,0,0,0,0,0,1.918,0,0,0,0,1.918
11,1408,2010,STD,BEAM,0,0,2697.5,141.2,8.4,15.8,241.9,55.4,,1325.1,4485.3
13,1408,2011,STD,BEAM,0,0,2.2,0,0,328.6,9.9,-3.8,,0,336.9
17,1408,2013,STD,BEAM,0,0,0,0,0,107.3,0,0,0,0,107.3
19,1429,2010,STD,2388B,0,0,0.98,-0.98,0,0,0,0,0.063,0,0.063
29,1659,2011,STD,ANDE,0,0,3.837,-3.837,0,1.7,0,0,0,0,1.7
33,1659,2013,STD,ANDE,0,0,-2.193,2.193,0,4.5,0,0,0,0,4.5
35,1722,2010,STD,ADM,0,0,0,0,0,150,0,0,,0,150
39,1722,2012,STD,ADM,0,0,0,0,0,474,0,0,,0,474
41,1722,2013,STD,ADM,0,0,-22,22,0,163,0,0,,0,163
43,1728,2010,STD,ARDNA,0,0,0,0,0,0.39,0,0,0,0,0.39
49,1920,2010,STD,AVP,0,0,,,1.3,,,,0,,1.3
53,1920,2012,STD,AVP,0,0,90.5,-24.3,0,145,-210.1,-78.6,0,90.7,13.2
55,1920,2013,STD,AVP,0,0,0,0,0,483.9,0,0,0,0,483.9
61,2390,2010,STD,BRID,0,0,0.538,0,0,0,0,0,0,-0.538,2.13E-14
63,2390,2011,STD,BRID,0,0,0.292,0,0,0.199,0,0,0,-0.093,0.398
65,2390,2012,STD,BRID,0,0,1.055,0,0,0.439,0,0,0,-0.616,0.878
67,2390,2013,STD,BRID,0,0,1.475,0,0,0.153,0,0,0,-1.322,0.306
83,2663,2010,STD,CPB,0,0,,,,,76,23,0,,99
85,2663,2011,STD,CPB,0,0,349,12,0,61,68,15,0,142,647
87,2663,2012,STD,CPB,0,0,339,12,0,14,57,17,0,119,558
89,2663,2013,STD,CPB,0,0,0,14,0,166,0,0,0,0,180
91,2710,2009,STD,STZ,0,0,-5.8,5.8,0,,0,0,0,,2.84E-14
95,2710,2011,STD,STZ,0,0,-5.1,5.1,,60.1,0,0,0,0,60.1
97,2710,2012,STD,STZ,0,0,-7.2,7.2,,43.2,0,0,0,-10.9,32.3
111,2812,2010,STD,DOLE,0,0,1833.189,38.339,2.66,-58.66,-104.398,7.394,0.174,219.395,1938.093
113,2812,2011,STD,DOLE,0,0,2017.61,40.021,2.147,-4.715,-51.532,8.591,1.251,245.374,2258.747
115,2812,2012,STD,DOLE,0,0,0,0,0,52.523,0,0,0,0,52.523
117,2911,2010,STD,3089B,0,0,53.838,-3.344,0,0,0,0,0,0,50.494
119,2911,2011,STD,3089B,0,0,52.685,-4.139,0,0,0,0,0,0,48.546
121,2911,2012,STD,3089B,0,0,40.154,-5.079,0,0,0,0,0,0,35.075
123,2911,2013,STD,3089B,0,0,5.372,-5.372,0,7.103,0,0,0,0,7.103
125,3026,2010,STD,CHD,0,0,0,0,0,32.337,0,0,0,0,32.337
127,3026,2011,STD,CHD,0,0,0,0,0,4.4,0,0,0,0,4.4
129,3026,2012,STD,CHD,0,0,0,0,0,2.9,0,0,0,0,2.9
131,3026,2013,STD,CHD,0,0,0,0,0,9.7,0,0,0,0,9.7
135,3121,2011,STD,CLX,0,0,3,-3,,301,0,0,0,0,301
141,3138,2010,SUMM_STD,COKE,0,0,-0.489,0,0,0.9,0,0,,0.489,0.9
145,3138,2012,STD,COKE,0,0,0.416,0,0,0.275,0,0,0,-0.416,0.275
153,3144,2012,STD,KO,0,0,0,0,0,358,0,0,0,0,358
157,3170,2010,STD,CL,0,0,0,0,0,302,0,0,0,0,302
161,3170,2012,STD,CL,0,0,24,0,0,134,0,0,0,0,158
171,3362,2012,STD,CAG,0,0,0,0,0,205.7,0,0,0,0,205.7
174,3505,2010,STD,TAP,0,0,0,0,0,21.8,0,0,0,0,21.8
182,3937,2009,STD,AOI,0,0,2.933,0,0,59.803,0,0,0,-2.933,59.803
190,3937,2013,STD,AOI,0,0,7.841,0,0,60.159,0,0,0,-7.841,60.159
192,4579,2010,STD,FARM,0,0,-1.932,0,0,10.1,1.407,0.001,,0.525,10.101
194,4579,2011,STD,FARM,0,0,0.313,0,0,9.261,1.945,4.229,-4.108,-2.258,9.382
196,4579,2012,STD,FARM,0,0,0.078,0,0,10.153,-2.753,0,-6.279,2.675,3.874
198,4579,2013,STD,FARM,0,0,0,0,0,0.126,0,0,0,0,0.126
202,4809,2011,STD,FLO,0,0,0,0,0,10.654,0,0,0,0,10.654
204,4809,2012,STD,FLO,0,0,0,0,0,9.56,0,0,0,0,9.56
214,5071,2009,STD,GIS,0,0,87.5,0,0,120.5,0,0,0,73.4,281.4
218,5071,2011,STD,GIS,0,0,0,0,0,112.8,0,0,0,0,112.8
220,5071,2012,STD,GIS,0,0,0,0,0,74.1,0,0,0,0,74.1
222,5071,2013,STD,GIS,0,0,0,0,0,0.3,0,0,0,0,0.3
232,5301,2009,STD,GAPTQ,0,0,0,0,0,491.65,0,0,-9.543,0,482.107
234,5301,2010,STD,GAPTQ,0,0,0,0,0,164.011,0,0,0,0,164.011
238,5568,2010,STD,HNZ,0,0,139.789,0,0,11.333,-42.153,-2.596,0,47.611,153.984
240,5568,2011,STD,HNZ,0,0,126.836,0,0,204.988,-52.646,-1.431,0,46.893,324.64
242,5568,2012,STD,HNZ,0,0,0,0,0,103.081,0,0,0,0,103.081
244,5597,2010,STD,HSY,0,0,0,0,,107.856,0,0,0,0,107.856
246,5597,2011,STD,HSY,0,0,0,0,,42.548,0,0,0,0,42.548
248,5597,2012,STD,HSY,0,0,0,0,,105.859,0,0,0,0,105.859
250,5597,2013,STD,HSY,0,0,0,0,,28.059,0,0,0,0,28.059
252,5709,2010,STD,HRL,0,0,0,0,0,9.733,0,0,0,0,9.733
258,5709,2013,STD,HRL,0,0,0,0,0,7.7,0,0,0,0,7.7
260,5888,2010,STD,IG,0,0,0,0,,0.013,0,0,0,0,0.013
262,5888,2011,STD,IG,0,0,0,0,,0.281,0,0,0,0,0.281
264,5888,2012,STD,IG,0,0,0,0,,0.962,0,0,0,0,0.962
272,6349,2012,STD,KATY,0,0,19.081,1.705,0,1.947,-7.903,0,-1.675,1.577,14.732
274,6349,2013,STD,KATY,0,0,0,0,0,0.538,0,0,0,0,0.538
276,6375,2010,STD,K,0,0,53,0,0,86,-48,-8,,-6,77
278,6375,2011,STD,K,0,0,-296,0,0,39,548,183,-42,-253,179
280,6375,2012,STD,K,0,0,0,0,0,137,0,0,0,0,137
282,6375,2013,STD,K,0,0,0,0,0,316,0,0,0,0,316
284,6435,2010,STD,KMB,0,0,0,0,0,98,0,0,0,0,98
286,6435,2011,STD,KMB,0,0,0,0,0,450,0,0,0,0,450
288,6435,2012,STD,KMB,0,0,0,0,0,434,0,0,0,0,434
290,6435,2013,STD,KMB,0,0,0,0,0,117,0,0,0,0,117
292,6502,2009,STD,KR,0,0,181,0,0,1113,0,0,-20,14,1288
294,6502,2010,STD,KR,0,0,206,0,0,18,0,0,0,16,240
296,6502,2011,STD,KR,0,0,105,0,0,953,0,0,0,0,1058
298,6502,2012,STD,KR,0,0,132,0,0,-115,0,0,4,0,21
302,6573,2010,STD,LANC,0,0,2.333,-2.333,0,2.991,0,0,0,0,2.991
306,6573,2012,STD,LANC,0,0,1.416,-1.416,0,0,0,0,0,0,5.68E-14
310,6574,2010,STD,LNCE,0,0,0,0,0,48.444,0,0,0,0,48.444
312,6574,2011,STD,LNCE,0,0,0,0,0,13.5,0,0,0,0,13.5
320,7146,2010,STD,MKC,0,0,12.6,-12.6,,6.1,0,0,0,0,6.1
322,7146,2011,STD,MKC,0,0,12.5,-12.5,,10.9,0,0,0,0,10.9
324,7146,2012,STD,MKC,0,0,11.2,-11.2,,5.7,0,0,0,0,5.7
326,7146,2013,STD,MKC,0,0,9.7,-9.7,,44.6,0,0,0,0,44.6
328,7241,2010,STD,CVS,0,0,605,0,0,0,32,12,,10,659
332,7241,2012,STD,CVS,0,0,-5,0,0,348,18,5,51,0,417
336,7660,2010,STD,NRTI,0,0,0,0,0,0.275,0,0,0,0,0.275
338,7660,2011,STD,NRTI,0,0,0,0,0,0.46,0,0,0,0,0.46
340,7660,2012,STD,NRTI,0,0,0,0,0,0,0,0,0.001,0,0.001
348,7691,2012,STD,NAFC,0,0,0,0,,162.991,0,0,0,0,162.991
350,7798,2010,STD,0170A,0,0,45.055,3.458,0,45.909,-1.577,-0.225,0,70.35,162.97
352,7798,2011,STD,0170A,0,0,38.956,3.66,0,166.13,-3.779,-0.999,-0.001,54.803,258.77
356,7798,2013,STD,0170A,0,0,0,0,0,52.495,0,0,0,0,52.495
360,7799,2011,STD,NATR,0,0,-19.999,0,0,14.75,0,0,0,19.999,14.75
364,7799,2013,STD,NATR,0,0,0,0,0,3.8,0,0,0,0,3.8
366,8073,2010,STD,OBCI,0,0,0,0,0,0.177,0,0,0,0,0.177
378,8105,2012,STD,ODC,0,0,0,0,0,1.623,0,0,0,0,1.623
380,8105,2013,STD,ODC,0,0,0,0,0,0.07,0,0,0,0,0.07
382,8336,2010,STD,PARF,0,0,0.191,-0.143,0,0,0,0,0,-0.048,2.44E-15
390,8479,2010,STD,PEP,0,0,86,-86,0,1014,0,0,0,0,1014
392,8479,2011,STD,PEP,0,0,128,-128,0,758,0,0,0,0,758
394,8479,2012,STD,PEP,0,0,81,-81,0,640,0,0,0,-23,617
396,8479,2013,STD,PEP,0,0,81,-81,0,297,0,0,0,0,297
398,8543,2010,STD,MO,0,0,0,0,0,153,0,0,,0,153
400,8543,2011,STD,MO,0,0,0,0,0,722,0,0,,0,722
402,8543,2012,STD,MO,0,0,0,0,0,937,0,0,8,0,945
404,8543,2013,STD,MO,0,0,0,0,0,1096,0,0,0,0,1096
406,8582,2009,STD,SENEA,0,0,7.106,0,0,0.002,0,0,0,0,7.108
408,8582,2010,STD,SENEA,0,0,5.027,0,0,0.619,0,0,0,0,5.646
410,8582,2011,STD,SENEA,0,0,4.016,0,0,0.081,0,0,0,0,4.097
412,8582,2012,STD,SENEA,0,0,0,0,0,1.705,0,0,0,0,1.705
416,8762,2010,STD,PG,0,0,877,0,0,0,289,84,0,205,1455
418,8762,2011,STD,PG,0,0,909,0,0,-1,322,93,0,223,1546
420,8762,2012,STD,PG,0,0,0,0,0,2628,0,0,0,0,2628
422,8762,2013,STD,PG,0,0,0,0,0,670,0,0,0,0,670
436,9155,2011,STD,RAD,0,0,0,0,0,81.631,0,0,0,48.055,129.686
440,9155,2013,STD,RAD,0,0,0,0,0,97.686,0,0,0,28.227,125.913
446,9284,2012,STD,HTSI,0,0,0,0,0,0.784,0,0,0,0,0.784
448,9284,2013,STD,HTSI,0,0,0,0,0,7.404,0,0,0,0,7.404
450,9359,2010,STD,SWY,0,0,5436.3,177.6,0,,365.3,108.5,,1842,7929.7
454,9359,2012,STD,SWY,0,0,5716.5,164.1,0,-44.2,392,120.4,24.2,1862.8,8235.8
456,9359,2013,STD,SWY,0,0,0,0,0,28.5,0,0,0,0,28.5
458,9411,2010,STD,HSH,0,0,,,7,219,736,218,,,1180
460,9411,2011,STD,HSH,0,0,2966,182,0,174,402,122,88,1154,5088
462,9411,2012,STD,HSH,0,0,100,4,0,294,-2,0,0,34,430
464,9411,2013,STD,HSH,0,0,0,0,0,66,0,0,0,0,66
