gvkey,iid,datadate,tic,conm,ajexm,ajpm,isalrt,primiss,spgim,spiim,spmim,cheqvm,curcddvm,dvpspm,dvpsxm,dvrate,csfsm,cshtrm,curcdm,navm,prccm,prchm,prclm,trfm,trt1m,rawpm,rawxm,sph100,sphcusip,sphiid,sphmid,sphname,sphsec,sphtic,sphvg,cshoq,adrrm,cmth,cshom,cyear,mkvalincl,exchg,tpci,city,conml,costat,ggroup,gind,gsector,gsubind,loc,naics,sic,state
61581,1,1/31/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,1376571,USD, ,45.85,49.38,45.85,1,-1.60944206, , , , , , , , , , , , ,1,10145000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,2/28/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,1118519,USD, ,47.32,47.93,43.24,1,3.20610687, , , , , , , , , , , , ,2,10145000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,3/31/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,2354144,USD, ,52.26,53.65,47.35,1,10.43956044, , , , , , , , , , ,14.074, ,3,9912000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,4/30/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,1491481,USD, ,57.01,59.94,52.33,1,9.089169537, , , , , , , , , , , , ,4,9967000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,5/31/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,3111474,USD, ,66.05,66.41,30,1,15.85686722, , , , , , , , , , , , ,5,9901000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,6/30/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,4111502,USD, ,67.45,74.52,65.27,1,2.119606359, , , , , , , , , , ,13.901, ,6,9901000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,7/31/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,3190603,USD, ,69.36,73,62.63,1,2.831727205, , , , , , , , , , , , ,7,9901000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,8/31/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,3692014,USD, ,65.71,71.12,60.95,1,-5.262399077, , , , , , , , , , , , ,8,9700000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,9/30/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,1640353,USD, ,66.87,69.9299,66.01,1,1.765332522, , , , , , , , , , ,13.597, ,9,9700000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
61581,1,10/31/2010,SAM,BOSTON BEER INC  -CL A,1,1, ,P,30201010,519,92, , , , , , ,1359984,USD, ,71.59,72.56,65.75,1,7.058471661, , , , , , , , , , , , ,10,9700000,2010,Y,11,0,Boston,Boston Beer Co Inc. (The),A,3020,302010,30,30201010,USA,312120,2082,MA
