,gvkey,fyear,datafmt,tic,conm,Sum,diff,,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
0,1659,2010,SUMM_STD,ANDE,ANDERSONS INC,46915597.42,7.799999997,1.66256E-05,1699.39,49.251,3071.999,18.507,18.356,276.825,38.913,3.48,3.48,3.51,3.51,64.662,64.881,0.219,64.662,43.159,104.143,319.515,316.317,3393.791,451.431,464.559,39.262,301.815,0,19.865,202.03,46902859,1699.39,1.5
1,1659,2010,STD,ANDE,ANDERSONS INC,46915589.62,7.799999997,1.66256E-05,1699.39,49.251,3075.812,18.507,18.356,276.825,35.1,3.48,3.48,3.51,3.51,64.662,64.881,0.219,64.662,35.359,104.143,319.515,316.317,3393.791,451.431,464.559,39.262,301.815,0,19.865,202.03,46902859,1699.39,1.5
2,1659,2011,SUMM_STD,ANDE,ANDERSONS INC,42294494.84,-1.700000003,,1734.123,108.323,4182.642,18.619,18.457,238.885,40.837,5.09,5.09,5.13,5.13,95.106,96.825,1.719,95.106,47.672,147.878,372.224,402.523,4576.331,523.995,538.842,51.053,312.971,0,25.256,227.39,42278882,1734.123,1.5
3,1659,2011,STD,ANDE,ANDERSONS INC,42294496.54,-1.700000003,,1734.123,108.323,4186.479,18.619,18.457,238.885,37,5.09,5.09,5.13,5.13,95.106,96.825,1.719,95.106,49.372,147.878,372.224,402.523,4576.331,523.995,538.842,51.053,312.971,0,25.256,227.39,42278882,1734.123,1.5
4,1659,2012,SUMM_STD,ANDE,ANDERSONS INC,35067737.73,3.700000003,,2182.304,180.498,4865.028,18.693,18.523,427.243,48.977,4.23,4.23,4.27,4.27,79.48,75.565,-3.915,79.48,31.212,120.133,587.208,470.628,5272.01,594.413,611.445,44.568,304.346,0,22.155,246.929,35049260,2182.304,1.5
5,1659,2012,STD,ANDE,ANDERSONS INC,35067734.03,3.700000003,,2182.304,180.498,4865.905,18.693,18.523,427.243,48.1,4.23,4.23,4.27,4.27,79.48,75.565,-3.915,79.48,27.112,120.133,587.208,470.628,5272.01,594.413,611.445,44.568,304.346,0,22.555,246.929,35049260,2182.304,1.5
6,1659,2013,SUMM_STD,ANDE,ANDERSONS INC,32143377.27,-5.100000001,,2273.556,139.37,5184.042,18.791,18.657,375.213,55.307,4.77,4.77,4.8,4.8,89.939,95.702,5.763,89.939,79.681,149.513,628.079,548.401,5604.574,701.474,724.421,53.811,229.451,0,20.86,274.533,32123722,2273.556,1.5
7,1659,2013,STD,ANDE,ANDERSONS INC,32143382.37,-5.100000001,,2273.556,139.37,5181.849,18.791,18.657,375.213,57.5,4.77,4.77,4.8,4.8,89.939,95.702,5.763,89.939,84.181,149.513,628.079,548.401,5604.574,701.474,724.421,53.811,229.451,0,21.46,274.533,32123722,2273.556,1.5
8,1722,2010,SUMM_STD,ADM,ARCHER-DANIELS-MIDLAND CO,1413515283,-9266,,31808,1607,56982,644,643,6830,857,3,3,3,3,1930,1919,-11,1930,562,2585,8712,10357,61682,14609,14631,666,,0,422,1398,1413262699,31808,1
9,1722,2010,STD,ADM,ARCHER-DANIELS-MIDLAND CO,1413524549,-9266,,31548,1607,56982,644,643,6830,857,3,3,3,3,1930,1919,-11,1930,712,2585,8712,10357,61682,14609,14631,666,9561,0,497,1398,1413262699,31548,1
